"","Month","Year","region","grid","Historical (SMSCG & X2)","base","No SMSCG, X2","SMSCG, No X2","60d","60d_100TAF","7_7","100TAFaug15","100TAFjul1","SixtyDayPercent","percent23","percentX2","percentGates","TAFaug","SixtyDayX","X23","XX2","XGates","XTAFaug","XXGates"
"13",7,"2024","Suisun Bay","Old",10054.444516129,9639.99096774194,9639.99096774194,10052.9164516129,NA,NA,NA,NA,NA,NA,4.29931469618562,0,4.28346338967256,NA,NA,414.453548387095,0,412.925483870968,NA,-414.453548387095
"14",7,"2024","Suisun Marsh","New",7138.27580645161,6620.58967741936,6620.61903225806,7138.27193548387,NA,NA,NA,NA,NA,NA,7.81933565219899,0.000443387071835735,7.81927718357413,NA,NA,517.686129032258,0.0293548387089686,517.682258064516,NA,-517.656774193549
"15",8,"2010","Suisun Bay","Old",NA,4312.38964808568,NA,NA,5036.56208408426,5038.67922694506,4581.19482654146,NA,NA,16.7928340223163,NA,NA,NA,NA,724.172435998578,NA,NA,NA,NA,NA
"16",8,"2010","Suisun Marsh","Old",NA,3753.10805475647,NA,NA,4646.95784001099,4650.22998128965,4361.74363150122,NA,NA,23.8162550135402,NA,NA,NA,NA,893.84978525452,NA,NA,NA,NA,NA
"17",8,"2016","Suisun Bay","Old",NA,5395.32995020876,NA,NA,6800.46188346606,7334.23054835317,5960.60854518872,NA,NA,26.0434847585721,NA,NA,NA,NA,1405.1319332573,NA,NA,NA,NA,NA
"18",8,"2016","Suisun Marsh","Old",NA,1964.18394865002,NA,NA,4402.79651298558,4735.14067807417,4354.12293090419,NA,NA,124.153980894285,NA,NA,NA,NA,2438.61256433556,NA,NA,NA,NA,NA
"19",8,"2017","Suisun Bay","Old",NA,14552.3704242563,NA,NA,NA,NA,NA,14661.7121613601,15485.0349015852,NA,NA,NA,NA,0.751367192533263,NA,NA,NA,NA,109.341737103776,NA
"20",8,"2017","Suisun Marsh","Old",NA,4776.01930327571,NA,NA,NA,NA,NA,4793.34749393894,4814.01340830779,NA,NA,NA,NA,0.36281659605814,NA,NA,NA,NA,17.3281906632246,NA
"21",8,"2020","Suisun Bay","Old",NA,148.592401017615,NA,NA,67.3946587167393,67.2613139356545,96.3702698236622,NA,NA,-54.6446128771082,NA,NA,NA,NA,-81.197742300876,NA,NA,NA,NA,NA
"22",8,"2020","Suisun Marsh","Old",NA,308.642910384309,NA,NA,3472.73396252497,3884.02628426843,3268.5278049994,NA,NA,1025.16239501528,NA,NA,NA,NA,3164.09105214066,NA,NA,NA,NA,NA
"23",8,"2023","Suisun Bay","Old",9494.51530027932,9369.77544394245,NA,NA,NA,NA,NA,NA,NA,NA,1.33130038263106,NA,NA,NA,NA,124.739856336877,NA,NA,NA,NA
"24",8,"2023","Suisun Marsh","Old",4843.23229309311,4554.4381682865,NA,NA,NA,NA,NA,NA,NA,NA,6.34093853370415,NA,NA,NA,NA,288.794124806608,NA,NA,NA,NA
"25",8,"2024","Suisun Bay","Old",10707.1041935484,6753.15580645161,9250.23290322581,7794.47838709677,NA,NA,NA,NA,NA,NA,58.5496396117409,36.9764472839293,15.4197920274597,NA,NA,3953.94838709677,2497.07709677419,1041.32258064516,NA,-1456.87129032258
"26",8,"2024","Suisun Marsh","New",6699.10483870968,5601.7935483871,5874.94677419355,6522.21612903226,NA,NA,NA,NA,NA,NA,19.5885707112238,4.87617445103988,16.4308550947968,NA,NA,1097.31129032258,273.153225806452,920.422580645161,NA,-824.158064516128
"27",9,"2010","Suisun Bay","Old",NA,7516.87218061147,NA,NA,8248.74796314557,8891.76053069113,8050.0049846655,NA,NA,9.73644043624765,NA,NA,NA,NA,731.875782534105,NA,NA,NA,NA,NA
"28",9,"2010","Suisun Marsh","Old",NA,3486.54286914862,NA,NA,4116.78418334916,4568.34406536709,4392.65436601194,NA,NA,18.076396529564,NA,NA,NA,NA,630.24131420054,NA,NA,NA,NA,NA
"29",9,"2016","Suisun Bay","Old",NA,1973.26465793934,NA,NA,2119.13140564706,1640.59498576425,1839.28158789564,NA,NA,7.3921532583495,NA,NA,NA,NA,145.866747707722,NA,NA,NA,NA,NA
"30",9,"2016","Suisun Marsh","Old",NA,1483.61177849415,NA,NA,2349.19560154211,4287.92056293031,3907.48071092477,NA,NA,58.3430136909887,NA,NA,NA,NA,865.583823047961,NA,NA,NA,NA,NA
"31",9,"2017","Suisun Bay","Old",NA,14841.6004364173,NA,NA,NA,NA,NA,15578.702891512,15362.7144257392,NA,NA,NA,NA,4.96646206217736,NA,NA,NA,NA,737.102455094617,NA
"32",9,"2017","Suisun Marsh","Old",NA,4641.12002057488,NA,NA,NA,NA,NA,4682.26910028396,4648.90175504947,NA,NA,NA,NA,0.886619598861012,NA,NA,NA,NA,41.1490797090792,NA
"33",9,"2020","Suisun Bay","Old",NA,3.86363288080624,NA,NA,6.3943487493317,0.0791847560656928,0.42856770990644,NA,NA,65.5009403480738,NA,NA,NA,NA,2.53071586852546,NA,NA,NA,NA,NA
"34",9,"2020","Suisun Marsh","Old",NA,246.444255008499,NA,NA,676.599008438922,3440.26880908279,1853.30121299484,NA,NA,174.544443495179,NA,NA,NA,NA,430.154753430423,NA,NA,NA,NA,NA
"35",9,"2023","Suisun Bay","Old",12366.2356027508,11427.4947887746,NA,NA,NA,NA,NA,NA,NA,NA,8.21475600144995,NA,NA,NA,NA,938.740813976239,NA,NA,NA,NA
"36",9,"2023","Suisun Marsh","Old",4848.61178903342,4535.27107180323,NA,NA,NA,NA,NA,NA,NA,NA,6.9089743979869,NA,NA,NA,NA,313.340717230191,NA,NA,NA,NA
"37",9,"2024","Suisun Bay","Old",6579.55266666667,159.489333333333,5894.31133333333,180.301,NA,NA,NA,NA,NA,NA,4025.38727772808,3595.74015399149,13.0489395320063,NA,NA,6420.06333333333,5734.822,20.8116666666667,NA,-685.241333333333
"38",9,"2024","Suisun Marsh","New",6273.90533333333,3627.817,5167.17,5160.702,NA,NA,NA,NA,NA,NA,72.9388591908945,42.4319363407801,42.2536473035988,NA,NA,2646.08833333333,1539.353,1532.885,NA,-1106.73533333333
"39",10,"2010","Suisun Bay","Old",NA,6982.74993973794,NA,NA,7381.35136619309,8606.71197544246,7758.32359671592,NA,NA,5.70837320389731,NA,NA,NA,NA,398.601426455156,NA,NA,NA,NA,NA
"40",10,"2010","Suisun Marsh","Old",NA,3009.54550617805,NA,NA,3166.65379630759,4411.64476371763,4193.69499246601,NA,NA,5.22033276476573,NA,NA,NA,NA,157.108290129547,NA,NA,NA,NA,NA
"41",10,"2016","Suisun Bay","Old",NA,78.6435827814905,NA,NA,85.6426751366089,47.8743263034224,84.1079720590516,NA,NA,8.89976283832992,NA,NA,NA,NA,6.99909235511832,NA,NA,NA,NA,NA
"42",10,"2016","Suisun Marsh","Old",NA,496.604655581557,NA,NA,722.527012982402,3669.28329225574,1926.65568204371,NA,NA,45.4934030242375,NA,NA,NA,NA,225.922357400844,NA,NA,NA,NA,NA
"43",10,"2017","Suisun Bay","Old",NA,8456.98307681087,NA,NA,NA,NA,NA,9812.91189915982,8668.29593730312,NA,NA,NA,NA,16.0332450713649,NA,NA,NA,NA,1355.92882234894,NA
"44",10,"2017","Suisun Marsh","Old",NA,3501.96424944251,NA,NA,NA,NA,NA,4026.32790886638,3584.94755649355,NA,NA,NA,NA,14.9734155483554,NA,NA,NA,NA,524.363659423873,NA
"45",10,"2020","Suisun Bay","Old",NA,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"46",10,"2020","Suisun Marsh","Old",NA,32.9860029626967,NA,NA,41.4576878654925,1338.60409192677,671.789788803075,NA,NA,25.6826658033597,NA,NA,NA,NA,8.47168490279573,NA,NA,NA,NA,NA
"47",10,"2023","Suisun Bay","Old",6192.25518142289,5662.73743806291,NA,NA,NA,NA,NA,NA,NA,NA,9.3509146265681,NA,NA,NA,NA,529.517743359973,NA,NA,NA,NA
"48",10,"2023","Suisun Marsh","Old",4349.5218580495,2868.26014835889,NA,NA,NA,NA,NA,NA,NA,NA,51.6432134141714,NA,NA,NA,NA,1481.26170969061,NA,NA,NA,NA
"49",10,"2024","Suisun Bay","Old",2470.79133333333,12.002,1720.02966666667,12.0703333333333,NA,NA,NA,NA,NA,NA,20486.4966949953,14231.1920235516,0.569349552852303,NA,NA,2458.78933333333,1708.02766666667,0.0683333333333334,NA,-750.761666666667
"50",10,"2024","Suisun Marsh","New",4713.35733333333,722.94,3144.60266666667,1942.12433333333,NA,NA,NA,NA,NA,NA,551.970749070923,334.974225615773,168.642533728018,NA,NA,3990.41733333333,2421.66266666667,1219.18433333333,NA,-1568.75466666667
