"","Region","RunName","HSI_0.5","Year","Month","Action","HSI_mean"
"101","Lower San Joaquin","smscg_1986.06_hsit.avgmon_rma",0,"1986","June","GateAction",0.338575899600983
"102","Lower San Joaquin","smscg_1986.07_hsit.avgmon_rma",0,"1986","July","GateAction",0.326606690883636
"103","Lower San Joaquin","smscg_1986.08_hsit.avgmon_rma",0,"1986","August","GateAction",0.295810252428055
"104","Lower San Joaquin","smscg_1986.09_hsit.avgmon_rma",0,"1986","Sep","GateAction",0.338153392076492
"105","Lower San Joaquin","smscg_1986.10_hsit.avgmon_rma",0,"1986","Oct","GateAction",0.342524230480194
"106","Lower San Joaquin","no.action_1940.06_hsit.avgmon_rma",0,"1940","June","noAction",0.343244582414627
"107","Lower San Joaquin","no.action_1940.07_hsit.avgmon_rma",0,"1940","July","noAction",0.334271907806396
"108","Lower San Joaquin","no.action_1940.08_hsit.avgmon_rma",0,"1940","August","noAction",0.341831624507904
"109","Lower San Joaquin","no.action_1940.09_hsit.avgmon_rma",0,"1940","Sep","noAction",0.344614952802658
"110","Lower San Joaquin","no.action_1940.10_hsit.avgmon_rma",0,"1940","Oct","noAction",0.344980776309967
"111","Lower San Joaquin","no.action_1979.06_hsit.avgmon_rma",0,"1979","June","noAction",0.33913654088974
"112","Lower San Joaquin","no.action_1979.07_hsit.avgmon_rma",0,"1979","July","noAction",0.34139296412468
"113","Lower San Joaquin","no.action_1979.08_hsit.avgmon_rma",0,"1979","August","noAction",0.343651413917542
"114","Lower San Joaquin","no.action_1979.09_hsit.avgmon_rma",0,"1979","Sep","noAction",0.344321936368942
"115","Lower San Joaquin","no.action_1979.10_hsit.avgmon_rma",0,"1979","Oct","noAction",0.343516647815704
"116","Lower San Joaquin","no.action_1986.06_hsit.avgmon_rma",0,"1986","June","noAction",0.338576972484589
"117","Lower San Joaquin","no.action_1986.07_hsit.avgmon_rma",0,"1986","July","noAction",0.326536238193512
"118","Lower San Joaquin","no.action_1986.08_hsit.avgmon_rma",0,"1986","August","noAction",0.295924425125122
"119","Lower San Joaquin","no.action_1986.09_hsit.avgmon_rma",0,"1986","Sep","noAction",0.338190764188766
"120","Lower San Joaquin","no.action_1986.10_hsit.avgmon_rma",0,"1986","Oct","noAction",0.342507690191269
"121","Sac Deep Water Shipping Channel","smscg_1940.06_hsit.avgmon_rma",21712,"1940","June","GateAction",0.421217858791351
"122","Sac Deep Water Shipping Channel","smscg_1940.07_hsit.avgmon_rma",8567,"1940","July","GateAction",0.287385284900665
"123","Sac Deep Water Shipping Channel","smscg_1940.08_hsit.avgmon_rma",0,"1940","August","GateAction",0.264799922704697
"124","Sac Deep Water Shipping Channel","smscg_1940.09_hsit.avgmon_rma",21868,"1940","Sep","GateAction",0.417671263217926
"125","Sac Deep Water Shipping Channel","smscg_1940.10_hsit.avgmon_rma",16707,"1940","Oct","GateAction",0.406994253396988
"126","Sac Deep Water Shipping Channel","smscg_1979.06_hsit.avgmon_rma",22423,"1979","June","GateAction",0.419379502534866
"127","Sac Deep Water Shipping Channel","smscg_1979.07_hsit.avgmon_rma",14881,"1979","July","GateAction",0.31080624461174
"128","Sac Deep Water Shipping Channel","smscg_1979.08_hsit.avgmon_rma",5676,"1979","August","GateAction",0.285567402839661
"129","Sac Deep Water Shipping Channel","smscg_1979.09_hsit.avgmon_rma",0,"1979","Sep","GateAction",0.328724294900894
"130","Sac Deep Water Shipping Channel","smscg_1979.10_hsit.avgmon_rma",13833,"1979","Oct","GateAction",0.394774049520493
"131","Sac Deep Water Shipping Channel","smscg_1986.06_hsit.avgmon_rma",19065,"1986","June","GateAction",0.353852331638336
"132","Sac Deep Water Shipping Channel","smscg_1986.07_hsit.avgmon_rma",1069,"1986","July","GateAction",0.243320614099503
"133","Sac Deep Water Shipping Channel","smscg_1986.08_hsit.avgmon_rma",0,"1986","August","GateAction",0.221107825636864
"134","Sac Deep Water Shipping Channel","smscg_1986.09_hsit.avgmon_rma",18466,"1986","Sep","GateAction",0.362879306077957
