"","count_(Intercept)","count_Chlor","count_Depth","count_DO","count_Habitat","count_Month","count_Salinity2","count_W_temp","zero_(Intercept)","zero_Chlor","zero_Depth","zero_DO","zero_Habitat","zero_Month","zero_Salinity2","zero_W_temp","df","logLik","AICc","delta","weight"
"4645",3.12680669937938,NA,NA,0.267606123326379,NA,NA,-0.00178758111381131,NA,2.8332289506206,NA,NA,-0.396678012094496,NA,NA,0.164298594085323,NA,7,-780.504483204825,1575.58628599728,19.8520193915854,1.33253967772903e-05
"16126",7.07578376290882,-0.0303899950688258,NA,0.0134842778071178,"+","+",0.0268873599383664,-0.0653337973492278,1.11877429798326,0.0488076950303479,NA,-0.108350594147969,"+","+",0.10902407970091,-0.0727905046645122,17,-769.274555975631,1575.87519890778,20.1409323020896,1.1533032292676e-05
"6322",5.55871762724811,-0.0558518005772763,NA,NA,NA,"+",-0.0163165708091777,NA,-0.88976771200691,0.0740927925793432,NA,NA,NA,"+",0.148194367120848,NA,9,-778.544938413747,1576.02737682749,20.2931102218015,1.06880503899086e-05
"1",5.21152189244628,NA,NA,NA,NA,NA,NA,NA,-0.192413389501137,NA,NA,NA,NA,NA,NA,NA,3,-784.966917602523,1576.05504732626,20.3207807205652,1.05411967680797e-05
"10450",7.76123381380026,-0.0587085025145423,NA,NA,NA,"+",NA,-0.098922436712622,0.287498441310573,0.074309116412515,NA,NA,NA,"+",NA,-0.0539521720012951,9,-778.742010920909,1576.42152184182,20.6872552361247,8.7762905015829e-06
"12514",6.49390334602982,-0.0512884093791215,NA,NA,NA,NA,-0.0238016914855564,-0.0467348611500186,2.27397000152497,0.0714707425229252,NA,NA,NA,NA,0.13597983448538,-0.136193019846889,9,-779.077697390648,1577.0928947813,21.3586281756034,6.2737066643465e-06
"6838",4.0357466141915,-0.0362108635811096,NA,0.180803835124777,NA,"+",-0.00454171575731127,NA,1.16101976752378,0.06196108672058,NA,-0.257329527934767,NA,"+",0.14272058780619,NA,11,-777.042579591654,1577.47463286752,21.7403662618246,5.18359230659556e-06
"10966",5.10819096956479,-0.0398368953791803,NA,0.159202088102854,NA,"+",NA,-0.0399945801501118,4.07945646564307,0.0609302473016973,NA,-0.298650795041678,NA,"+",NA,-0.117695839004924,11,-777.151895815618,1577.69326531545,21.9589987097538,4.64681522654079e-06
"13030",3.95901765409252,-0.0321408320523841,NA,0.185639101302984,NA,NA,-0.00743963451618195,-0.0010409240035296,5.53248373341887,0.0582721048647625,NA,-0.313803584804281,NA,NA,0.114220139397953,-0.172612976565219,11,-777.218618836216,1577.82671135664,22.0924447509501,4.34688313172356e-06
"12901",2.8598659298984,NA,NA,0.272272893978328,NA,NA,-0.000271908842090118,0.0106646110282003,6.2614071492686,NA,NA,-0.441515316749777,NA,NA,0.119777836555344,-0.143181969168057,9,-780.040371381265,1579.01824276253,23.2839761568375,2.39574288379003e-06
"4129",5.21090329769226,NA,NA,NA,NA,NA,-0.0230825785318711,NA,-0.187412755050565,NA,NA,NA,NA,NA,0.171195330484461,NA,5,-784.408273733332,1579.12266991564,23.3884033099505,2.27386218159591e-06
"6709",3.12675615192445,NA,NA,0.268305818300778,NA,"+",-0.0012413863456564,NA,2.70117545954189,NA,NA,-0.395874039525115,NA,"+",0.150837314847063,NA,9,-780.159974272033,1579.25744854407,23.5231819383732,2.12567728324388e-06
"2065",5.2100903510966,NA,NA,NA,NA,"+",NA,NA,-0.341308898025984,NA,NA,NA,NA,"+",NA,NA,5,-784.480550942965,1579.26722433491,23.5329577292155,2.11531254649475e-06
"10837",2.87514283007764,NA,NA,0.271381370725331,NA,"+",NA,0.0102683296942549,6.00565197837404,NA,NA,-0.44457228914667,NA,"+",NA,-0.132839355796224,9,-780.233917504568,1579.40533500914,23.6710684034431,1.97416838854422e-06
"8257",6.4220913183993,NA,NA,NA,NA,NA,NA,-0.0560597053988496,1.97271940080644,NA,NA,NA,NA,NA,NA,-0.1004183556027,5,-784.65305880406,1579.6122400571,23.8779734514062,1.78014481298705e-06
"14578",7.8203675605445,-0.0585749220528358,NA,NA,NA,"+",-0.0191381660935622,-0.101774736355261,-0.21243791767994,0.0739840533205313,NA,NA,NA,"+",0.144227851019106,-0.0304800140761483,11,-778.356164310677,1580.10180230556,24.3675356998706,1.39363242283962e-06
"15094",5.18895571507276,-0.0402777624525565,NA,0.156278698717644,NA,"+",-0.00710767799496536,-0.0425124760434383,3.45999430693314,0.0611663970404055,NA,-0.284817585407691,NA,"+",0.122578588864965,-0.0939158176435072,13,-776.904494458088,1581.74515912894,26.0108925232489,6.12770489022428e-07
"6193",5.20669519520683,NA,NA,NA,NA,"+",-0.0233429780118231,NA,-0.322846174363618,NA,NA,NA,NA,"+",0.157171400150116,NA,7,-784.011444145256,1582.60020787814,26.8659412724478,3.99600814502493e-07
"12385",6.54000741665466,NA,NA,NA,NA,NA,-0.0272899853132766,-0.0615811734328182,1.4772277688278,NA,NA,NA,NA,NA,0.151409666363828,-0.0772696014635507,7,-784.188788634022,1582.95489685567,27.2206302499792,3.34662177048933e-07
"10321",6.91429742549836,NA,NA,NA,NA,"+",NA,-0.0772436273914339,0.248724641131219,NA,NA,NA,NA,"+",NA,-0.0265668855568383,7,-784.375092622322,1583.32750483227,27.5932382265789,2.77776715135701e-07
"14965",2.87443596237557,NA,NA,0.272126177949242,NA,"+",-0.000310241053171933,0.0101012624730643,5.36080800420996,NA,NA,-0.430078387810315,NA,"+",0.123989018891826,-0.108116502163103,11,-779.996536599554,1583.38254688332,27.6482802776254,2.70236251640064e-07
"14449",7.00591678004758,NA,NA,NA,NA,"+",-0.0262669086414095,-0.0815885476902019,-0.313833114849561,NA,NA,NA,NA,"+",0.158850220843898,-0.00040833400207904,9,-783.901551479596,1586.74060295919,31.0063363534982,5.04139813599127e-08
