"Month","YT","Year","region","scenario","MetersSquared","Acres","Percent","Region"
8,"Wet","2017","Suisun Marsh","100 TAF continuous starting Aug 15",19398019.0361949,4793.34749393894,0.36281659605815,"Suisun Marsh"
8,"Wet","2017","Suisun Marsh","100 TAF continuous starting July1",19481651.1535897,4814.01340830779,0.795518246880095,"Suisun Marsh"
9,"Wet","2017","Suisun Marsh","base",18781975.3569328,4641.12002057488,0,"Suisun Marsh"
9,"Wet","2017","Suisun Marsh","100 TAF continuous starting Aug 15",18948500.0315006,4682.26910028396,0.886619598861028,"Suisun Marsh"
9,"Wet","2017","Suisun Marsh","100 TAF continuous starting July1",18813466.9676837,4648.90175504947,0.167669322062056,"Suisun Marsh"
10,"Wet","2017","Suisun Marsh","base",14171968.3917465,3501.96424944251,0,"Suisun Marsh"
10,"Wet","2017","Suisun Marsh","100 TAF continuous starting Aug 15",16293996.1104242,4026.32790886638,14.9734155483554,"Suisun Marsh"
10,"Wet","2017","Suisun Marsh","100 TAF continuous starting July1",14507790.4392608,3584.94755649355,2.36962176482108,"Suisun Marsh"
7,"Wet","2017",NA,"base",39412235.587486,9738.96047484573,0,"Suisun Bay"
7,"Wet","2017",NA,"100 TAF continuous starting Aug 15",39401080.0224317,9736.20387894298,-0.0283048268845199,"Suisun Bay"
7,"Wet","2017",NA,"100 TAF continuous starting July1",39756530.7653951,9824.03753478295,0.8735743425282,"Suisun Bay"
8,"Wet","2017",NA,"base",33745861.7664498,8338.77117179858,0,"Suisun Bay"
8,"Wet","2017",NA,"100 TAF continuous starting Aug 15",33700577.9580033,8327.58131631241,-0.134190700951355,"Suisun Bay"
8,"Wet","2017",NA,"100 TAF continuous starting July1",34779588.1854328,8594.21013856137,3.06326869391357,"Suisun Bay"
9,"Wet","2017",NA,"base",34184091.7905529,8447.06000190458,0,"Suisun Bay"
9,"Wet","2017",NA,"100 TAF continuous starting Aug 15",35078215.515817,8668.00244503596,2.61561351620048,"Suisun Bay"
9,"Wet","2017",NA,"100 TAF continuous starting July1",35042193.6945556,8659.10127289316,2.51023753756662,"Suisun Bay"
10,"Wet","2017",NA,"base",25034108.5660782,6186.05339722076,0,"Suisun Bay"
10,"Wet","2017",NA,"100 TAF continuous starting Aug 15",26185131.0283181,6470.47680275253,4.59781685136365,"Suisun Bay"
10,"Wet","2017",NA,"100 TAF continuous starting July1",25287810.7216296,6248.74446836827,1.01342596194977,"Suisun Bay"
7,"Above
Normal","2010",NA,"base",24454665.7933423,6042.87019086385,0,"Suisun Bay"
7,"Above
Normal","2010",NA,"60 days continuous",24436180.2560294,6038.30232216614,-0.0755910445438806,"Suisun Bay"
7,"Above
Normal","2010",NA,"60 days continuous, followed by 100 TAF",24431505.5807168,6037.14718652303,-0.0947067231308433,"Suisun Bay"
7,"Above
Normal","2010",NA,"60 days, 7 days-on/ 7 days-off",24527109.9138157,6060.77149525342,0.296238440081693,"Suisun Bay"
8,"Above
Normal","2010",NA,"base",17451636.0330408,4312.38652194455,0,"Suisun Bay"
8,"Above
Normal","2010",NA,"60 days continuous",18436985.2492414,4555.87124001381,5.64617101992683,"Suisun Bay"
8,"Above
Normal","2010",NA,"60 days continuous, followed by 100 TAF",18397969.4966055,4546.2302524587,5.42260600537975,"Suisun Bay"
8,"Above
Normal","2010",NA,"60 days, 7 days-on/ 7 days-off",17722170.7324422,4379.23699884013,1.55019677747814,"Suisun Bay"
9,"Above
Normal","2010",NA,"base",24445450.9749178,6040.59316315707,0,"Suisun Bay"
9,"Above
Normal","2010",NA,"60 days continuous",25829132.6665115,6382.50782755831,5.66028294185839,"Suisun Bay"
9,"Above
Normal","2010",NA,"60 days continuous, followed by 100 TAF",26159837.3771956,6464.22661509192,7.01311014485608,"Suisun Bay"
9,"Above
Normal","2010",NA,"60 days, 7 days-on/ 7 days-off",24981669.861805,6173.09553120133,2.19353239765299,"Suisun Bay"
10,"Above
Normal","2010",NA,"base",24267413.9416576,5996.5993220533,0,"Suisun Bay"
10,"Above
Normal","2010",NA,"60 days continuous",24575548.0749744,6072.74080706654,1.26974441552606,"Suisun Bay"
10,"Above
Normal","2010",NA,"60 days continuous, followed by 100 TAF",25688022.0981287,6347.6387005581,5.85397422191962,"Suisun Bay"
10,"Above
Normal","2010",NA,"60 days, 7 days-on/ 7 days-off",24938378.3986587,6162.39799420057,2.76487827921941,"Suisun Bay"
6,"Below
Normal","2016",NA,"base",18469171.2119598,4563.82455233133,0,"Suisun Bay"
6,"Below
Normal","2016",NA,"60 days continuous",17107169.8313452,4227.26720117455,-7.37445857739751,"Suisun Bay"
6,"Below
Normal","2016",NA,"60 days continuous, followed by 100 TAF",17107169.8313452,4227.26720117455,-7.37445857739751,"Suisun Bay"
6,"Below
Normal","2016",NA,"60 days, 7 days-on/ 7 days-off",17335336.018875,4283.64820694411,-6.1390691551473,"Suisun Bay"
7,"Below
Normal","2016",NA,"base",20436489.914289,5049.95884027039,0,"Suisun Bay"
7,"Below
Normal","2016",NA,"60 days continuous",19030206.0899884,4702.45907586659,-6.88123953868101,"Suisun Bay"
7,"Below
Normal","2016",NA,"60 days continuous, followed by 100 TAF",19029513.6505255,4702.2879706131,-6.88462778913799,"Suisun Bay"
7,"Below
Normal","2016",NA,"60 days, 7 days-on/ 7 days-off",19595768.020954,4842.21225681784,-4.1138272612421,"Suisun Bay"
8,"Below
Normal","2016",NA,"base",21834159.3662968,5395.32995020876,0,"Suisun Bay"
8,"Below
Normal","2016",NA,"60 days continuous",21886222.2410009,5408.19494686253,0.238446893378108,"Suisun Bay"
8,"Below
Normal","2016",NA,"60 days continuous, followed by 100 TAF",21115600.2067358,5217.77038908545,-3.29098614472014,"Suisun Bay"
8,"Below
Normal","2016",NA,"60 days, 7 days-on/ 7 days-off",21433674.0212725,5296.36801902655,-1.83421462812262,"Suisun Bay"
9,"Below
Normal","2016",NA,"base",7985531.08168324,1973.26465793934,0,"Suisun Bay"
9,"Below
Normal","2016",NA,"60 days continuous",8575830.2999084,2119.13054625887,7.39210970675644,"Suisun Bay"
9,"Below
Normal","2016",NA,"60 days continuous, followed by 100 TAF",6634502.70138461,1639.41879002564,-16.9184537193468,"Suisun Bay"
9,"Below
Normal","2016",NA,"60 days, 7 days-on/ 7 days-off",7443298.49641623,1839.27627495693,-6.79018815055086,"Suisun Bay"
10,"Below
Normal","2016",NA,"base",318259.779371079,78.6435827814905,0,"Suisun Bay"
10,"Below
Normal","2016",NA,"60 days continuous",346584.144944897,85.6426751366089,8.89976283832994,"Suisun Bay"
10,"Below
Normal","2016",NA,"60 days continuous, followed by 100 TAF",193341.401288423,47.7756269653757,-39.2504445046467,"Suisun Bay"
10,"Below
Normal","2016",NA,"60 days, 7 days-on/ 7 days-off",340373.412351234,84.1079720590516,6.9482964589034,"Suisun Bay"
6,"Dry","2020",NA,"base",20652481.1616299,5103.33135744456,0,"Suisun Bay"
6,"Dry","2020",NA,"60 days continuous",18397069.74054,4546.00791823615,-10.9207770409698,"Suisun Bay"
6,"Dry","2020",NA,"60 days continuous, followed by 100 TAF",18367486.148025,4538.69766460771,-11.0640217788952,"Suisun Bay"
6,"Dry","2020",NA,"60 days, 7 days-on/ 7 days-off",20153957.9019702,4980.14376736634,-2.41386618759387,"Suisun Bay"
7,"Dry","2020",NA,"base",7315863.2701351,1807.78639336673,0,"Suisun Bay"
7,"Dry","2020",NA,"60 days continuous",4999271.48561697,1235.34498045338,-31.6653236805962,"Suisun Bay"
