"contrast","Region","estimate","SE","df","t.ratio","p.value"
"Year2019 - Year2025","River",0.551929127793785,0.26991391208686,2064.24187055804,2.04483393807493,0.511947314612509
"Year2020 - Year2021","River",-0.018071422383239,0.181236304199553,2064.01595314633,-0.0997119338923465,0.999999999699755
"Year2020 - Year2022","River",0.741982006023082,0.182587504136195,2064.02903326184,4.06370638304813,0.0016472558300652
"Year2020 - Year2023","River",-1.26008295144507,0.301536422759945,2064.15087806583,-4.17887477708864,0.00101761124102839
"Year2020 - Year2024","River",-0.817727920521896,0.293913889640792,2064.18946882585,-2.78220237063748,0.121188482622348
"Year2020 - Year2025","River",-0.0851852086292375,0.269334278343121,2064.22511049561,-0.316280605473897,0.999997141056898
"Year2021 - Year2022","River",0.760053428406321,0.180517580638414,2064.004752396,4.2104122253264,0.00088963474874959
"Year2021 - Year2023","River",-1.24201152906183,0.300374430846777,2064.16783145963,-4.13487767770549,0.00122527539613371
"Year2021 - Year2024","River",-0.799656498138657,0.292868273859733,2064.24314329166,-2.73043060485837,0.13777485069396
"Year2021 - Year2025","River",-0.0671137862459985,0.268192850017314,2064.28907523237,-0.250244502199316,0.999999547352727
"Year2022 - Year2023","River",-2.00206495746815,0.301165791952332,2064.16522218755,-6.64771700826178,1.42344247500148e-09
"Year2022 - Year2024","River",-1.55970992654498,0.293754649552483,2064.25757707748,-5.30956677254675,4.33009900069337e-06
"Year2022 - Year2025","River",-0.827167214652319,0.269160496916862,2064.30583165546,-3.07313749278674,0.0549211219245579
"Year2023 - Year2024","River",0.442355030923173,0.378454816375721,2064.04317164357,1.16884502926768,0.962895036025254
"Year2023 - Year2025","River",1.17489774281583,0.359699356414229,2064.04777687724,3.2663326243565,0.03047489839047
"Year2024 - Year2025","River",0.732542711892658,0.352986953439542,2064.0000048595,2.07526851843867,0.490672378529537
"Year2017 - Year2018","Suisun Bay",1.96335901001149,0.241811329106133,2064.02969807382,8.11938389019712,5.65630875470902e-11
"Year2017 - Year2019","Suisun Bay",0.325790826607809,0.22820139796367,2064.01560138678,1.42764605964279,0.887307795727268
"Year2017 - Year2020","Suisun Bay",3.01662655279711,0.234848575634184,2064.02129182954,12.8449855173744,5.67447200339188e-11
"Year2017 - Year2021","Suisun Bay",2.28294938147077,0.240291087443615,2064.03524910976,9.50076594915934,5.71848124408803e-11
"Year2017 - Year2022","Suisun Bay",2.76217832742109,0.237572079840411,2064.0763385906,11.6266959033089,5.72681901900296e-11
"Year2017 - Year2023","Suisun Bay",1.11344625834051,0.356614920798424,2064.09318099916,3.12226492331733,0.047503038750463
"Year2017 - Year2024","Suisun Bay",1.54886743617271,0.323188165308487,2064.22312926295,4.79246334621907,6.17224190572196e-05
"Year2017 - Year2025","Suisun Bay",1.64403374300139,0.356802000805087,2064.12839759696,4.60769205131079,0.000149536231162428
"Year2018 - Year2019","Suisun Bay",-1.63756818340368,0.203377069631959,2064.09092204782,-8.05188208467703,5.82708326035686e-11
"Year2018 - Year2020","Suisun Bay",1.05326754278562,0.210873299551708,2064.11824359389,4.99478855324377,2.25194203010703e-05
"Year2018 - Year2021","Suisun Bay",0.319590371459279,0.216965904232112,2064.14755041651,1.47299813115971,0.868132746796399
"Year2018 - Year2022","Suisun Bay",0.798819317409599,0.214044181537114,2064.23521926523,3.73203004946475,0.00607216407555156
"Year2018 - Year2023","Suisun Bay",-0.849912751670982,0.341052974480795,2064.07119389826,-2.49202562436188,0.236282051021443
"Year2018 - Year2024","Suisun Bay",-0.414491573838775,0.306050106113774,2064.23646702107,-1.35432586219947,0.91446718545092
"Year2018 - Year2025","Suisun Bay",-0.319325267010101,0.341273628890884,2064.1142188904,-0.935686909205045,0.990921700451288
"Year2019 - Year2020","Suisun Bay",2.6908357261893,0.194884913090572,2064.02776205195,13.807306494468,5.71191982601249e-11
"Year2019 - Year2021","Suisun Bay",1.95715855486296,0.201394097126203,2064.04179896341,9.71805322395574,5.82346393329658e-11
"Year2019 - Year2022","Suisun Bay",2.43638750081328,0.198107842924904,2064.08936957582,12.2982889765592,5.78704861808887e-11
