Nick_Addition,Kingdom,Phylum,Class,Genus,Taxon,Algal Type,Authority,Authority Source,Synonym(s),Synonym Authority,Synonym Authority Source,Taxonomic Classification Source,Growth Habit,Habitat Type,Salinity Range
,Chromista,Bacillariophyta,Bacillariophyceae,Actinella,Actinella sp.,Biraphid Pennate Diatom,Lewis,Wehr and Sheath 2003,None,N/A,N/A,Cavalier-Smith 1998,solitary or colonial,benthic,freshwater to marine
,Chromista,Bacillariophyta,Bacillariophyceae,Adlafia,Adlafia sp.,Biraphid Pennate Diatom,"Gerd Moser, Lange-Bertalot, and Metzeltin",www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary,planktonic,freshwater
,Chromista,Bacillariophyta,Bacillariophyceae,Amphicampa,Amphicampa mirabilis,Biraphid Pennate Diatom,Ehrenberg ex Ralfs,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary or colonial,benthic,freshwater
,Chromista,Bacillariophyta,Bacillariophyceae,Amphicampa,Amphicampa sp.,Biraphid Pennate Diatom,(Ehrenberg) Ralfs in Pritchard,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary or colonial,benthic,freshwater to marine
,Chromista,Bacillariophyta,Bacillariophyceae,Amphipleura,Amphipleura pellucida,Biraphid Pennate Diatom,(Kützing) Kützing,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary or colonial,benthic,freshwater
,Chromista,Bacillariophyta,Bacillariophyceae,Amphipleura,Amphipleura sp.,Biraphid Pennate Diatom,Kützing,Wehr and Sheath 2003,None,N/A,N/A,Cavalier-Smith 1998,solitary or colonial,benthic,freshwater to marine
,Chromista,Bacillariophyta,Bacillariophyceae,Amphiprora,Amphiprora ornata,Biraphid Pennate Diatom,Bailey,www.algaebase.org,Entomoneis ornata,(Bailey) Reimer,www.algaebase.org,Cavalier-Smith 1998,solitary or colonial,planktonic or benthic,freshwater
,Chromista,Bacillariophyta,Bacillariophyceae,Amphiprora,Amphiprora paludosa,Biraphid Pennate Diatom,Smith,www.algaebase.org,Entomoneis paludosa,(W. Smith) Reimer,www.algaebase.org,Cavalier-Smith 1998,solitary or colonial,planktonic or benthic,marine
,Chromista,Bacillariophyta,Bacillariophyceae,Amphiprora,Amphiprora sp.,Biraphid Pennate Diatom,Ehrenberg,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary or colonial,planktonic or benthic,freshwater to marine
,Chromista,Bacillariophyta,Bacillariophyceae,Amphora,Amphora delicatissima,Biraphid Pennate Diatom,Krasske,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary,benthic,freshwater
,Chromista,Bacillariophyta,Bacillariophyceae,Amphora,Amphora holsatica,Biraphid Pennate Diatom,Hustedt,www.algaebase.org,Halamphora holsatica,(Hustedt) Levkov,www.algaebase.org,Cavalier-Smith 1998,solitary,benthic,brackish
,Chromista,Bacillariophyta,Bacillariophyceae,Amphora,Amphora libyca,Biraphid Pennate Diatom,Ehrenberg,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary,benthic,marine
,Chromista,Bacillariophyta,Bacillariophyceae,Amphora,Amphora normanii,Biraphid Pennate Diatom,Rabenhorst emend Carter and Round,www.algaebase.org,Halamphora normanii,(Rabenhorst) Lekov,www.algaebase.org,Cavalier-Smith 1998,solitary,benthic,freshwater
,Chromista,Bacillariophyta,Bacillariophyceae,Amphora,Amphora ovalis,Biraphid Pennate Diatom,(Kützing) Kützing,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary,benthic,freshwater
,Chromista,Bacillariophyta,Bacillariophyceae,Amphora,Amphora pediculus,Biraphid Pennate Diatom,(Kützing) Grunow,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary,benthic,freshwater
,Chromista,Bacillariophyta,Bacillariophyceae,Amphora,Amphora sp.,Biraphid Pennate Diatom,Ehrenberg ex Kützing,Wehr and Sheath 2003,None,N/A,N/A,Cavalier-Smith 1998,solitary,benthic,freshwater to marine
,Chromista,Bacillariophyta,Bacillariophyceae,Anomoeoneis,Anomoeoneis sp.,Biraphid Pennate Diatom,Pfitzer,Wehr and Sheath 2003,None,N/A,N/A,Cavalier-Smith 1998,solitary,benthic,freshwater to marine
,Chromista,Bacillariophyta,Bacillariophyceae,Bacillaria,Bacillaria paradoxa,Biraphid Pennate Diatom,J.F. Gmelin,www.algaebase.org,Bacillaria paxillifera,(O.F. Müller) T. Marsson,www.algaebase.org,Cavalier-Smith 1998,colonial,benthic,marine
,Chromista,Bacillariophyta,Bacillariophyceae,Bacillaria,Bacillaria paxillifer,Biraphid Pennate Diatom,(O.F. Müller) T. Marsson,www.algaebase.org,Bacillaria paxillifera,(O.F. Müller) T. Marsson,www.algaebase.org,Cavalier-Smith 1998,colonial,benthic,marine
,Chromista,Bacillariophyta,Bacillariophyceae,Bacillaria,Bacillaria paxillifera,Biraphid Pennate Diatom,(O.F. Müller) T. Marsson,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,colonial,benthic,marine
,Chromista,Bacillariophyta,Bacillariophyceae,Bacillaria,Bacillaria sp.,Biraphid Pennate Diatom,Gmelin,Wehr and Sheath 2003,None,N/A,N/A,Cavalier-Smith 1998,colonial,benthic,freshwater to marine
,Chromista,Bacillariophyta,Bacillariophyceae,Caloneis,Caloneis amphisbaena,Biraphid Pennate Diatom,(Bory de Saint Vincent) Cleve,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary,benthic,freshwater
,Chromista,Bacillariophyta,Bacillariophyceae,Caloneis,Caloneis schumanniana,Biraphid Pennate Diatom,(Grunow) Cleve,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary,benthic,freshwater
,Chromista,Bacillariophyta,Bacillariophyceae,Caloneis,Caloneis sp.,Biraphid Pennate Diatom,Cleve,Wehr and Sheath 2003,None,N/A,N/A,Cavalier-Smith 1998,solitary,benthic,freshwater to marine
,Chromista,Bacillariophyta,Bacillariophyceae,Campylodiscus,Campylodiscus hibernicus,Biraphid Pennate Diatom,Ehrenberg,www.algaebase.org,Iconella hibernica,(Ehrenberg) Ruck and Nakov,www.algaebase.org,Cavalier-Smith 1998,solitary,planktonic,freshwater
,Chromista,Bacillariophyta,Bacillariophyceae,Campylodiscus,Campylodiscus sp.,Biraphid Pennate Diatom,Ehrenberg ex Kützing,Wehr and Sheath 2003,None,N/A,N/A,Cavalier-Smith 1998,solitary,benthic,freshwater
,Chromista,Bacillariophyta,Bacillariophyceae,Achnanthes,cf. Achnanthes sp.,Monoraphid Pennate Diatom,Unknown,Unknown,Unknown,Unknown,Unknown,Cavalier-Smith 1998,solitary or colonial,benthic,freshwater to marine
,Chromista,Bacillariophyta,Bacillariophyceae,Achnanthidium,cf. Achnanthidium minutissimum,Monoraphid Pennate Diatom,Unknown,Unknown,Unknown,Unknown,Unknown,Cavalier-Smith 1998,solitary,planktonic or benthic,freshwater
,Chromista,Bacillariophyta,Bacillariophyceae,Achnanthidium,cf. Achnanthidium sp.,Monoraphid Pennate Diatom,Unknown,Unknown,Unknown,Unknown,Unknown,Cavalier-Smith 1998,solitary,planktonic or benthic,freshwater to marine
,Chromista,Bacillariophyta,Bacillariophyceae,Adlafia,cf. Adlafia minuscula var. muralis,Biraphid Pennate Diatom,Unknown,Unknown,Unknown,Unknown,Unknown,Cavalier-Smith 1998,solitary,planktonic,freshwater
,Chromista,Bacillariophyta,Bacillariophyceae,Adlafia,cf. Adlafia sp.,Biraphid Pennate Diatom,Unknown,Unknown,Unknown,Unknown,Unknown,Cavalier-Smith 1998,solitary,planktonic,freshwater
,Chromista,Bacillariophyta,Bacillariophyceae,Amphora,cf. Amphora sp.,Biraphid Pennate Diatom,Unknown,Unknown,Unknown,Unknown,Unknown,Cavalier-Smith 1998,solitary,benthic,unknown
,Chromista,Bacillariophyta,Bacillariophyceae,Astartiella,cf. Astartiella sp.,Monoraphid Pennate Diatom,Unknown,Unknown,Unknown,Unknown,Unknown,Cavalier-Smith 1998,solitary,planktonic,freshwater to marine
,Chromista,Bacillariophyta,Bacillariophyceae,Bacillaria,cf. Bacillaria paxillifer,Biraphid Pennate Diatom,Unknown,Unknown,Unknown,Unknown,Unknown,Cavalier-Smith 1998,colonial,benthic,marine
,Chromista,Bacillariophyta,Bacillariophyceae,Bacillaria,cf. Bacillaria paxillifera,Biraphid Pennate Diatom,Unknown,Unknown,Unknown,Unknown,Unknown,Cavalier-Smith 1998,colonial,benthic,marine
,Chromista,Bacillariophyta,Bacillariophyceae,Bacillaria,cf. Bacillaria sp.,Biraphid Pennate Diatom,Unknown,Unknown,Unknown,Unknown,Unknown,Cavalier-Smith 1998,colonial,benthic,freshwater to marine
,Chromista,Bacillariophyta,Bacillariophyceae,Caloneis,cf. Caloneis bacillum,Biraphid Pennate Diatom,Unknown,Unknown,Unknown,Unknown,Unknown,Cavalier-Smith 1998,solitary,planktonic,freshwater to marine
,Chromista,Bacillariophyta,Bacillariophyceae,Craticula,cf. Craticula sp.,Biraphid Pennate Diatom,Unknown,Unknown,Unknown,Unknown,Unknown,Cavalier-Smith 1998,solitary,benthic,freshwater to marine
,Chromista,Bacillariophyta,Bacillariophyceae,Encyonopsis,cf. Encyonopsis sp.,Biraphid Pennate Diatom,Unknown,Unknown,Unknown,Unknown,Unknown,Cavalier-Smith 1998,solitary,benthic,freshwater to marine
,Chromista,Bacillariophyta,Bacillariophyceae,Entomoneis,cf. Entomoneis sp.,Biraphid Pennate Diatom,Unknown,Unknown,Unknown,Unknown,Unknown,Cavalier-Smith 1998,solitary,benthic,freshwater to marine
,Chromista,Bacillariophyta,Bacillariophyceae,Eunotia,cf. Eunotia sp.,Biraphid Pennate Diatom,Unknown,Unknown,Unknown,Unknown,Unknown,Cavalier-Smith 1998,solitary or colonial,benthic,freshwater to marine
,Chromista,Bacillariophyta,Bacillariophyceae,Fallacia,cf. Fallacia pygmaea,Biraphid Pennate Diatom,Unknown,Unknown,Unknown,Unknown,Unknown,Cavalier-Smith 1998,solitary,benthic,brackish
,Chromista,Bacillariophyta,Bacillariophyceae,Fragilariopsis,cf. Fragilariopsis pseudonana,Biraphid Pennate Diatom,Unknown,Unknown,Unknown,Unknown,Unknown,Cavalier-Smith 1998,solitary,benthic,marine
,Chromista,Bacillariophyta,Bacillariophyceae,Fragilariopsis,cf. Fragilariopsis sp.,Biraphid Pennate Diatom,Unknown,Unknown,Unknown,Unknown,Unknown,Cavalier-Smith 1998,solitary,benthic,freshwater to marine
,Chromista,Bacillariophyta,Bacillariophyceae,Geissleria,cf. Geissleria decussis,Biraphid Pennate Diatom,Unknown,Unknown,Unknown,Unknown,Unknown,Cavalier-Smith 1998,solitary,benthic,freshwater
,Chromista,Bacillariophyta,Bacillariophyceae,Gomphoneis,cf. Gomphoneis sp.,Biraphid Pennate Diatom,Unknown,Unknown,Unknown,Unknown,Unknown,Cavalier-Smith 1998,colonial,benthic,freshwater
,Chromista,Bacillariophyta,Bacillariophyceae,Hippodonta,cf. Hippodonta sp.,Biraphid Pennate Diatom,Unknown,Unknown,Unknown,Unknown,Unknown,Cavalier-Smith 1998,solitary,benthic,freshwater to marine
,Chromista,Bacillariophyta,Bacillariophyceae,Membraneis,cf. Membraneis sp.,Biraphid Pennate Diatom,Unknown,Unknown,Unknown,Unknown,Unknown,Cavalier-Smith 1998,solitary,benthic,marine
,Chromista,Bacillariophyta,Bacillariophyceae,Navicula,cf. Navicula sp.,Biraphid Pennate Diatom,Unknown,Unknown,Unknown,Unknown,Unknown,Cavalier-Smith 1998,solitary,benthic,freshwater to marine
,Chromista,Bacillariophyta,Bacillariophyceae,Nitzschia,cf. Nitzschia acicularis,Biraphid Pennate Diatom,Unknown,Unknown,Unknown,Unknown,Unknown,Cavalier-Smith 1998,solitary or colonial,planktonic or benthic,freshwater
,Chromista,Bacillariophyta,Bacillariophyceae,Nitzschia,cf. Nitzschia amphibia,Biraphid Pennate Diatom,Unknown,Unknown,Unknown,Unknown,Unknown,Cavalier-Smith 1998,solitary or colonial,planktonic or benthic,freshwater
,Chromista,Bacillariophyta,Bacillariophyceae,Nitzschia,cf. Nitzschia dissipata,Biraphid Pennate Diatom,Unknown,Unknown,Unknown,Unknown,Unknown,Cavalier-Smith 1998,solitary or colonial,planktonic or benthic,freshwater
,Chromista,Bacillariophyta,Bacillariophyceae,Nitzschia,cf. Nitzschia incerta,Biraphid Pennate Diatom,Unknown,Unknown,Unknown,Unknown,Unknown,Cavalier-Smith 1998,solitary or colonial,planktonic or benthic,freshwater to marine
,Chromista,Bacillariophyta,Bacillariophyceae,Nitzschia,cf. Nitzschia inconspicua,Biraphid Pennate Diatom,Unknown,Unknown,Unknown,Unknown,Unknown,Cavalier-Smith 1998,solitary,benthic,marine
,Chromista,Bacillariophyta,Bacillariophyceae,Nitzschia,cf. Nitzschia sp.,Biraphid Pennate Diatom,Unknown,Unknown,Unknown,Unknown,Unknown,Cavalier-Smith 1998,solitary or colonial,planktonic or benthic,freshwater to marine
,Chromista,Bacillariophyta,Bacillariophyceae,Planothidium,cf. Planothidium delicatulum,Monoraphid Pennate Diatom,Unknown,Unknown,Unknown,Unknown,Unknown,Cavalier-Smith 1998,solitary,benthic,freshwater to marine
,Chromista,Bacillariophyta,Bacillariophyceae,Planothidium,cf. Planothidium sp.,Monoraphid Pennate Diatom,Unknown,Unknown,Unknown,Unknown,Unknown,Cavalier-Smith 1998,solitary,benthic,freshwater to marine
,Chromista,Bacillariophyta,Bacillariophyceae,Psammothidium,cf. Psammothidium sp.,Monoraphid Pennate Diatom,Unknown,Unknown,Unknown,Unknown,Unknown,Cavalier-Smith 1998,solitary or colonial,benthic,freshwater to marine
,Chromista,Bacillariophyta,Bacillariophyceae,Surirella,cf. Surirella sp.,Biraphid Pennate Diatom,Unknown,Unknown,Unknown,Unknown,Unknown,Cavalier-Smith 1998,solitary,benthic,freshwater
,Chromista,Bacillariophyta,Bacillariophyceae,Tryblionella,cf. Tryblionella coarctata,Biraphid Pennate Diatom,Unknown,Unknown,Unknown,Unknown,Unknown,Cavalier-Smith 1998,solitary,benthic,unknown
,Chromista,Bacillariophyta,Bacillariophyceae,Tryblionella,cf. Tryblionella sp.,Biraphid Pennate Diatom,Unknown,Unknown,Unknown,Unknown,Unknown,Cavalier-Smith 1998,solitary,benthic,freshwater to marine
,Chromista,Bacillariophyta,Bacillariophyceae,Cocconeis,Cocconeis cf. placentula,Monoraphid Pennate Diatom,Unknown,Unknown,Unknown,Unknown,Unknown,Cavalier-Smith 1998,solitary,benthic,freshwater
,Chromista,Bacillariophyta,Bacillariophyceae,Cocconeis,Cocconeis pediculus,Monoraphid Pennate Diatom,Ehrenberg,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary,benthic,freshwater
,Chromista,Bacillariophyta,Bacillariophyceae,Cocconeis,Cocconeis placentula,Monoraphid Pennate Diatom,Ehrenberg,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary,benthic,freshwater
,Chromista,Bacillariophyta,Bacillariophyceae,Cocconeis,Cocconeis sp.,Monoraphid Pennate Diatom,Ehrenberg,Wehr and Sheath 2003,None,N/A,N/A,Cavalier-Smith 1998,solitary,benthic,freshwater to marine
,Chromista,Bacillariophyta,Bacillariophyceae,Craticula,Craticula accomoda,Biraphid Pennate Diatom,(Hustedt) D.G. Mann,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary,benthic,freshwater
,Chromista,Bacillariophyta,Bacillariophyceae,Craticula,Craticula buderi,Biraphid Pennate Diatom,(Hustedt) Lange-Bertalot,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary,benthic,freshwater
,Chromista,Bacillariophyta,Bacillariophyceae,Craticula,Craticula cf. ambigua,Biraphid Pennate Diatom,Unknown,Unknown,Unknown,Unknown,Unknown,Cavalier-Smith 1998,solitary,benthic,freshwater
,Chromista,Bacillariophyta,Bacillariophyceae,Craticula,Craticula cf. elkab,Biraphid Pennate Diatom,Unknown,Unknown,Unknown,Unknown,Unknown,Cavalier-Smith 1998,solitary,benthic,freshwater
,Chromista,Bacillariophyta,Bacillariophyceae,Craticula,Craticula elkab,Biraphid Pennate Diatom,"(Otto Müller) Lange-Bertalot, Kusber and Cocquyt",www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary,benthic,freshwater
,Chromista,Bacillariophyta,Bacillariophyceae,Craticula,Craticula halophila,Biraphid Pennate Diatom,(Grunow) D.G. Mann,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary,benthic,freshwater to marine
,Chromista,Bacillariophyta,Bacillariophyceae,Craticula,Craticula molestiformis,Biraphid Pennate Diatom,(Hustedt) Mayama,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary,benthic,freshwater
,Chromista,Bacillariophyta,Bacillariophyceae,Craticula,Craticula sp.,Biraphid Pennate Diatom,Grunow,Wehr and Sheath 2003,None,N/A,N/A,Cavalier-Smith 1998,solitary,benthic,freshwater to brackish
,Chromista,Bacillariophyta,Bacillariophyceae,Cylindrotheca,Cylindrotheca closterium,Biraphid Pennate Diatom,(Ehrenberg) Reimann and J.C. Lewin,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary,planktonic,marine
,Chromista,Bacillariophyta,Bacillariophyceae,Cylindrotheca,Cylindrotheca sp.,Biraphid Pennate Diatom,Rabenhorst,Wehr and Sheath 2003,None,N/A,N/A,Cavalier-Smith 1998,solitary,planktonic,freshwater to marine
,Chromista,Bacillariophyta,Bacillariophyceae,Cymatopleura,Cymatopleura elliptica,Biraphid Pennate Diatom,(Brébisson) W. Smith,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary,benthic,freshwater
,Chromista,Bacillariophyta,Bacillariophyceae,Cymatopleura,Cymatopleura solea,Biraphid Pennate Diatom,(Brébisson) W. Smith,www.algaebase.org,Surirella librile,(Ehrenberg) Ehrenberg,www.algaebase.org,Cavalier-Smith 1998,solitary,benthic,freshwater
,Chromista,Bacillariophyta,Bacillariophyceae,Cymatopleura,Cymatopleura sp.,Biraphid Pennate Diatom,Smith,Wehr and Sheath 2003,None,N/A,N/A,Cavalier-Smith 1998,solitary,benthic,freshwater
,Chromista,Bacillariophyta,Bacillariophyceae,Cymbella,Cymbella affinis,Biraphid Pennate Diatom,Kützing,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary or colonial,benthic,freshwater
,Chromista,Bacillariophyta,Bacillariophyceae,Cymbella,Cymbella mexicana,Biraphid Pennate Diatom,(Ehrenberg) Cleve,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary or colonial,benthic,freshwater
,Chromista,Bacillariophyta,Bacillariophyceae,Cymbella,Cymbella sinuata,Biraphid Pennate Diatom,W. Gregory,www.algaebase.org,Reimeria sinuata,(Gregory) Kociolek and Stoermer,www.algaebase.org,Cavalier-Smith 1998,solitary,benthic,freshwater
,Chromista,Bacillariophyta,Bacillariophyceae,Cymbella,Cymbella sp.,Biraphid Pennate Diatom,Agardh,Wehr and Sheath 2003,None,N/A,N/A,Cavalier-Smith 1998,solitary or colonial,benthic,freshwater to marine
,Chromista,Bacillariophyta,Bacillariophyceae,Cymbella,Cymbella turgida,Biraphid Pennate Diatom,Gregory,www.algaebase.org,Encyonema elginense,(Krammer) D.G. Mann,www.algaebase.org,Cavalier-Smith 1998,solitary or colonial,benthic,freshwater
,Chromista,Bacillariophyta,Bacillariophyceae,Cymbella,Cymbella ventricosa,Biraphid Pennate Diatom,(C. Agardh) C. Agardh,www.algaebase.org,Encyonema ventricosum,(C. Agardh) Grunow,www.algaebase.org,Cavalier-Smith 1998,solitary or colonial,benthic,freshwater
,Chromista,Bacillariophyta,Bacillariophyceae,Cymbopleura,Cymbopleura anglica,Biraphid Pennate Diatom,(Lagerstedt) Krammer,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary,benthic,freshwater; fossil
,Chromista,Bacillariophyta,Bacillariophyceae,Denticula,Denticula elegans,Biraphid Pennate Diatom,Kützing,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary or colonial,benthic,freshwater
,Chromista,Bacillariophyta,Bacillariophyceae,Denticula,Denticula pelagica,Biraphid Pennate Diatom,Hustedt,www.algaebase.org,Tetralunata pelagica,"(Hustedt) Hamsher, Graeff, Stepanek and Kociolek",www.algaebase.org,Cavalier-Smith 1998,solitary or colonial,benthic,freshwater
,Chromista,Bacillariophyta,Bacillariophyceae,Denticula,Denticula sp.,Biraphid Pennate Diatom,Ehrenberg,Wehr and Sheath 2003,None,N/A,N/A,Cavalier-Smith 1998,solitary or colonial,benthic,freshwater to marine
,Chromista,Bacillariophyta,Bacillariophyceae,Denticula,Denticula tenuis,Biraphid Pennate Diatom,Kützing,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary or colonial,benthic,freshwater
,Chromista,Bacillariophyta,Bacillariophyceae,Diadesmis,Diadesmis contenta,Biraphid Pennate Diatom,(Grunow) D.G. Mann,www.algaebase.org,Humidophila contenta,"(Grunow) Lowe, Kociolek, J.R. Johansen, Van de Vijver, Lange-Bertalot and Kopalová",www.algaebase.org,Cavalier-Smith 1998,solitary,benthic,freshwater or terrestrial
,Chromista,Bacillariophyta,Bacillariophyceae,Didymosphenia,Didymosphenia geminata,Biraphid Pennate Diatom,(Lyngbye) M. Schmidt,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary,benthic,freshwater
,Chromista,Bacillariophyta,Bacillariophyceae,Didymosphenia,Didymosphenia sp.,Biraphid Pennate Diatom,M. Schmidt,Wehr and Sheath 2003,None,N/A,N/A,Cavalier-Smith 1998,solitary,benthic,freshwater to marine
,Chromista,Bacillariophyta,Bacillariophyceae,Diploneis,Diploneis bombus,Biraphid Pennate Diatom,(Ehrenberg) Ehrenberg,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary,benthic,marine
,Chromista,Bacillariophyta,Bacillariophyceae,Diploneis,Diploneis cf. puella,Biraphid Pennate Diatom,Unknown,Unknown,Unknown,Unknown,Unknown,Cavalier-Smith 1998,solitary,benthic,freshwater
,Chromista,Bacillariophyta,Bacillariophyceae,Diploneis,Diploneis cf. smithii,Biraphid Pennate Diatom,Unknown,Unknown,Unknown,Unknown,Unknown,Cavalier-Smith 1998,solitary,benthic,freshwater
,Chromista,Bacillariophyta,Bacillariophyceae,Diploneis,Diploneis didyma,Biraphid Pennate Diatom,(Ehrenberg) Ehrenberg,Wehr and Sheath 2003,None,N/A,N/A,Cavalier-Smith 1998,solitary,benthic,freshwater
,Chromista,Bacillariophyta,Bacillariophyceae,Diploneis,Diploneis elliptica,Biraphid Pennate Diatom,(Kützing) Cleve,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary,benthic,freshwater to marine
,Chromista,Bacillariophyta,Bacillariophyceae,Diploneis,Diploneis finnica,Biraphid Pennate Diatom,(Ehrenberg) Cleve,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary,benthic,freshwater
,Chromista,Bacillariophyta,Bacillariophyceae,Diploneis,Diploneis ovalis,Biraphid Pennate Diatom,(Hilse) Cleve,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary,benthic,freshwater
,Chromista,Bacillariophyta,Bacillariophyceae,Diploneis,Diploneis smithii,Biraphid Pennate Diatom,(Brébisson) Cleve,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary,benthic,freshwater
,Chromista,Bacillariophyta,Bacillariophyceae,Diploneis,Diploneis sp.,Biraphid Pennate Diatom,Ehrenberg ex Cleve,Wehr and Sheath 2003,None,N/A,N/A,Cavalier-Smith 1998,solitary,benthic,freshwater to marine
,Chromista,Bacillariophyta,Bacillariophyceae,Encyonema,Encyonema cf. minutum,Biraphid Pennate Diatom,Unknown,Unknown,Unknown,Unknown,Unknown,Cavalier-Smith 1998,solitary or colonial,benthic,freshwater to marine
