accepted.name,input.name,input.match,currently.accepted,genus.only,kingdom,phylum,class,order,family,genus,species,infrasp,long.name,taxonomic.status,taxon.rank,mod.date,authorship
Mycotetraedron,Tetraedron,0,1,1,Plantae,Chlorophyta,Trebouxiophyceae,Chlorellales,Oocystaceae,Mycotetraedron,NA,NA,"Mycotetraedron Hansgirg, 1890",currently accepted taxonomically,genus,2022-05-30,Hansgirg
Pseudotetraedron,Tetraedron,0,1,1,Chromista,Ochrophyta,Xanthophyceae,Mischococcales,Sciadiaceae,Pseudotetraedron,NA,NA,"Pseudotetraedron Pascher, 1912",currently accepted taxonomically,genus,2022-05-30,Pascher
Tetraëdron trigonum,Tetraedron trigonum,1,1,0,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Hydrodictyaceae,Tetraedron,trigonum,NA,Tetraëdron trigonum (Nägeli) Hansgirg,currently accepted taxonomically,species,2020-03-18,(Nägeli) Hansgirg
Tetraëdron trigonum f. gracile,Tetraedron trigonum,0,1,0,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Hydrodictyaceae,Tetraedron,trigonum,gracile,Tetraëdron trigonum f. gracile (Reinsch) De Toni,currently accepted taxonomically,forma,2020-03-18,(Reinsch) De Toni
Tetraëdron regulare var. papilliferum,Tetraedron trigonum,0,0,0,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Hydrodictyaceae,Tetraedron,trigonum,papilliferum,Tetraëdron trigonum var. papilliferum (Schröder) Lemmermann,homotypic or heterotypic synonym,variety,2020-03-18,(Schröder) Lemmermann
Treubaria setigera,Tetraedron trigonum,0,0,0,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Hydrodictyaceae,Tetraedron,trigonum,setigerum,Tetraëdron trigonum var. setigerum (W.Archer) Lemmermann,homotypic or heterotypic synonym,variety,2020-03-18,(W.Archer) Lemmermann
Tetraëdron trigonum,Tetraedron trigonum,1,1,0,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Hydrodictyaceae,Tetraedron,trigonum,NA,Tetraëdron trigonum (Nägeli) Hansgirg,currently accepted taxonomically,species,2020-03-18,(Nägeli) Hansgirg
Tetraëdron trigonum f. gracile,Tetraedron trigonum,0,1,0,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Hydrodictyaceae,Tetraedron,trigonum,gracile,Tetraëdron trigonum f. gracile (Reinsch) De Toni,currently accepted taxonomically,forma,2020-03-18,(Reinsch) De Toni
Tetraëdron regulare var. papilliferum,Tetraedron trigonum,0,0,0,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Hydrodictyaceae,Tetraedron,trigonum,papilliferum,Tetraëdron trigonum var. papilliferum (Schröder) Lemmermann,homotypic or heterotypic synonym,variety,2020-03-18,(Schröder) Lemmermann
Treubaria setigera,Tetraedron trigonum,0,0,0,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Hydrodictyaceae,Tetraedron,trigonum,setigerum,Tetraëdron trigonum var. setigerum (W.Archer) Lemmermann,homotypic or heterotypic synonym,variety,2020-03-18,(W.Archer) Lemmermann
Tetraselmis cordiformis,Tetraselmis cordiformis,1,1,0,Plantae,Chlorophyta,Chlorodendrophyceae,Chlorodendrales,Chlorodendraceae,Tetraselmis,cordiformis,NA,Tetraselmis cordiformis (H.J.Carter) F.Stein,currently accepted taxonomically,species,2018-08-12,(H.J.Carter) F.Stein
Tetraselmis maculata,Tetraselmis maculata,1,1,0,Plantae,Chlorophyta,Chlorodendrophyceae,Chlorodendrales,Chlorodendraceae,Tetraselmis,maculata,NA,Tetraselmis maculata Butcher,currently accepted taxonomically,species,2013-06-11,Butcher
Tetraselmis,Tetraselmis,1,1,1,Plantae,Chlorophyta,Chlorodendrophyceae,Chlorodendrales,Chlorodendraceae,Tetraselmis,NA,NA,"Tetraselmis F.Stein, 1878",currently accepted taxonomically,genus,2021-08-23,F.Stein
Tetraselmis wettsteinii,Tetraselmis wettsteinii,1,1,0,Plantae,Chlorophyta,Chlorodendrophyceae,Chlorodendrales,Chlorodendraceae,Tetraselmis,wettsteinii,NA,Tetraselmis wettsteinii (J.Schiller) Throndsen,currently accepted taxonomically,species,2013-06-12,(J.Schiller) Throndsen
Tetrastrum elegans,Tetrastrum elegans,1,1,0,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Tetrastrum,elegans,NA,Tetrastrum elegans Playfair,currently accepted taxonomically,species,2018-11-26,Playfair
Tetrastrum glabrum var. hispanicum,Tetrastrum glabrum,0,1,0,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Tetrastrum,glabrum,hispanicum,Tetrastrum glabrum var. hispanicum P.González,currently accepted taxonomically,variety,2022-10-04,P.González
Tetrastrum heteracanthum,Tetrastrum heteracanthum,1,1,0,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Tetrastrum,heteracanthum,NA,Tetrastrum heteracanthum (Nordstedt) Chodat,currently accepted taxonomically,species,2023-01-23,(Nordstedt) Chodat
Tetrastrum,Tetrastrum,1,1,1,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Tetrastrum,NA,NA,"Tetrastrum Chodat, 1895",currently accepted taxonomically,genus,2012-07-10,Chodat
NA,Tetrastrum staurogeniaeforme,0,0,0,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Tetrastrum,staurogeniaeforme,brasiliense,Tetrastrum staurogeniaeforme f. brasiliense C.E.M.Bicudo & Ventrice,uncertain taxonomic status subjected to verification,forma,2015-03-25,C.E.M.Bicudo & Ventrice
Lemmermannia triangularis,Tetrastrum triangulare,1,0,0,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Tetrastrum,triangulare,NA,Tetrastrum triangulare (Chodat) Komárek,homotypic or heterotypic synonym,species,2018-11-26,(Chodat) Komárek
Treubaria setigera,Treubaria setigera,1,1,0,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Treubariaceae,Treubaria,setigera,NA,Treubaria setigera (W.Archer) G.M.Smith,currently accepted taxonomically,species,2018-11-16,(W.Archer) G.M.Smith
Treubaria,Treubaria,1,1,1,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Treubariaceae,Treubaria,NA,NA,"Treubaria C.Bernard, 1908",currently accepted taxonomically,genus,2012-03-07,C.Bernard
NA,Trochiscia,1,0,1,Eukaryota unassigned,Eukaryota unassigned phylum,Eukaryota unassigned class,Eukaryota unassigned order,Eukaryota unassigned family,Trochiscia,NA,NA,"Trochiscia Kützing, 1834",uncertain taxonomic status subjected to verification,genus,2022-05-05,Kützing
Glochiococcus,Trochiscia,1,0,1,Plantae,Chlorophyta,Trebouxiophyceae,Chlorellales,Oocystaceae,Trochiscia,NA,NA,"Trochiscia Kützing, 1845, nom. illeg.",homotypic or heterotypic synonym,genus,2022-05-05,Kützing
Volvox,Volvox,1,1,1,Plantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Volvocaceae,Volvox,NA,NA,"Volvox Linnaeus, 1758",currently accepted taxonomically,genus,2012-03-30,Linnaeus
Westella botryoides,Westella botryoides,1,1,0,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Westella,botryoides,NA,Westella botryoides (West) De Wildeman,currently accepted taxonomically,species,2020-03-19,(West) De Wildeman
Westellopsis linearis,Westella linearis,1,0,0,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Westella,linearis,NA,Westella linearis G.M.Smith,homotypic or heterotypic synonym,species,2018-11-29,G.M.Smith
Westella,Westella,1,1,1,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Westella,NA,NA,"Westella De Wildeman, 1897",currently accepted taxonomically,genus,2023-06-07,De Wildeman
Vitreochlamys,Vitreochlamys,1,1,1,Plantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadaceae,Vitreochlamys,NA,NA,"Vitreochlamys Batko, 1970",currently accepted taxonomically,genus,2020-03-16,Batko
Dictyochloris fragrans,Dictyochloris fragrans,1,1,0,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Dictyochloridaceae,Dictyochloris,fragrans,NA,Dictyochloris fragrans Vischer,currently accepted taxonomically,species,2021-06-19,Vischer
Nautococcus,Nautococcus,1,1,1,Plantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlorococcaceae,Nautococcus,NA,NA,"Nautococcus Korshikov, 1926",currently accepted taxonomically,genus,2021-08-31,Korshikov
Raphidocelis,Raphidocelis,1,1,1,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Selenastraceae,Raphidocelis,NA,NA,"Raphidocelis Hindák, 1977",currently accepted taxonomically,genus,2012-01-27,Hindák
Lepochromulina,Chromulina,0,1,1,Chromista,Ochrophyta,Chrysophyceae,Chromulinales,Chrysococcaceae,Lepochromulina,NA,NA,"Lepochromulina Scherffel, 1911",currently accepted taxonomically,genus,2023-06-24,Scherffel
NA,Epipyxis,1,0,1,Chromista,Ochrophyta,Chrysophyceae,Chromulinales,Dinobryaceae,Epipyxis,NA,NA,"Epipyxis Ehrenberg, 1838",homotypic or heterotypic synonym,genus,2021-10-11,Ehrenberg
Pseudokephyrion,Kephyrion,0,1,1,Chromista,Ochrophyta,Chrysophyceae,Chromulinales,Dinobryaceae,Pseudokephyrion,NA,NA,"Pseudokephyrion Pascher, 1913",currently accepted taxonomically,genus,2023-06-16,Pascher
Ochromonas,Ochromonas,1,1,1,Chromista,Ochrophyta,Chrysophyceae,Ochromonadales,Ochromonadaceae,Ochromonas,NA,NA,"Ochromonas Vysotskii, 1887",currently accepted taxonomically,genus,2022-10-26,Vysotskii
Lepochromulina,Chromulina,0,1,1,Chromista,Ochrophyta,Chrysophyceae,Chromulinales,Chrysococcaceae,Lepochromulina,NA,NA,"Lepochromulina Scherffel, 1911",currently accepted taxonomically,genus,2023-06-24,Scherffel
Chrysamoeba,Chrysamoeba,1,1,1,Chromista,Ochrophyta,Chrysophyceae,Chromulinales,Chrysamoebaceae,Chrysamoeba,NA,NA,"Chrysamoeba G.A.Klebs, 1892",currently accepted taxonomically,genus,2021-10-18,G.A.Klebs
Chrysocapsa paludosa,Chrysocapsella paludosa,1,0,0,Chromista,Ochrophyta,Chrysophyceae,Chromulinales,Chrysocapsaceae,Chrysocapsella,paludosa,NA,Chrysocapsella paludosa (West & G.S.West) Bourrelly,homotypic or heterotypic synonym,species,2016-08-22,(West & G.S.West) Bourrelly
Chrysococcus rufescens,Chrysococcus rufescens,1,1,0,Chromista,Ochrophyta,Chrysophyceae,Chromulinales,Chrysococcaceae,Chrysococcus,rufescens,NA,Chrysococcus rufescens Klebs,currently accepted taxonomically,species,2020-03-30,Klebs
Chrysococcus rufescens var. compressus,Chrysococcus rufescens,0,1,0,Chromista,Ochrophyta,Chrysophyceae,Chromulinales,Chrysococcaceae,Chrysococcus,rufescens,compressus,Chrysococcus rufescens var. compressus Skuja,currently accepted taxonomically,variety,2020-03-30,Skuja
Chrysococcus rufescens,Chrysococcus rufescens,1,1,0,Chromista,Ochrophyta,Chrysophyceae,Chromulinales,Chrysococcaceae,Chrysococcus,rufescens,NA,Chrysococcus rufescens Klebs,currently accepted taxonomically,species,2020-03-30,Klebs
Chrysococcus rufescens var. compressus,Chrysococcus rufescens,0,1,0,Chromista,Ochrophyta,Chrysophyceae,Chromulinales,Chrysococcaceae,Chrysococcus,rufescens,compressus,Chrysococcus rufescens var. compressus Skuja,currently accepted taxonomically,variety,2020-03-30,Skuja
Chrysococcus,Chrysococcus,1,1,1,Chromista,Ochrophyta,Chrysophyceae,Chromulinales,Chrysococcaceae,Chrysococcus,NA,NA,"Chrysococcus Klebs, 1892",currently accepted taxonomically,genus,2022-01-22,Klebs
Dinobryon bavaricum,Dinobryon bavaricum,1,1,0,Chromista,Ochrophyta,Chrysophyceae,Chromulinales,Dinobryaceae,Dinobryon,bavaricum,NA,Dinobryon bavaricum Imhof,currently accepted taxonomically,species,2020-03-31,Imhof
Dinobryon vanhoeffenii H.Bachmann,Dinobryon bavaricum,0,0,0,Chromista,Ochrophyta,Chrysophyceae,Chromulinales,Dinobryaceae,Dinobryon,bavaricum,vanhoeffenii,Dinobryon bavaricum var. vanhoeffenii (H.Bachmann) Krieger,homotypic or heterotypic synonym,variety,2020-03-31,(H.Bachmann) Krieger
Dinobryon divergens var. angulatum,Dinobryon divergens,0,1,0,Chromista,Ochrophyta,Chrysophyceae,Chromulinales,Dinobryaceae,Dinobryon,divergens,angulatum,Dinobryon divergens var. angulatum (Seligo) Brunnthaler,currently accepted taxonomically,variety,2023-01-23,(Seligo) Brunnthaler
Dinobryon sertularia,Dinobryon sertularia,1,1,0,Chromista,Ochrophyta,Chrysophyceae,Chromulinales,Dinobryaceae,Dinobryon,sertularia,NA,Dinobryon sertularia Ehrenberg,currently accepted taxonomically,species,2023-01-23,Ehrenberg
Dinobryon divergens var. angulatum,Dinobryon sertularia,0,0,0,Chromista,Ochrophyta,Chrysophyceae,Chromulinales,Dinobryaceae,Dinobryon,sertularia,angulatum,Dinobryon sertularia var. angulatum Seligo,homotypic or heterotypic synonym,variety,2023-01-23,Seligo
Dinobryon,Dinobryon,1,1,1,Chromista,Ochrophyta,Chrysophyceae,Chromulinales,Dinobryaceae,Dinobryon,NA,NA,"Dinobryon Ehrenberg, 1834",currently accepted taxonomically,genus,2021-10-11,Ehrenberg
Kephyrion littorale,Kephyrion littorale,1,1,0,Chromista,Ochrophyta,Chrysophyceae,Chromulinales,Chrysococcaceae,Kephyrion,littorale,NA,Kephyrion littorale J.W.G.Lund,currently accepted taxonomically,species,2020-03-30,J.W.G.Lund
Kephyrion rubri-claustri,Kephyrion rubri-claustri,1,1,0,Chromista,Ochrophyta,Chrysophyceae,Chromulinales,Chrysococcaceae,Kephyrion,rubri-claustri,NA,Kephyrion rubri-claustri Conrad,currently accepted taxonomically,species,2020-03-30,Conrad
Pseudokephyrion,Kephyrion,0,1,1,Chromista,Ochrophyta,Chrysophyceae,Chromulinales,Dinobryaceae,Pseudokephyrion,NA,NA,"Pseudokephyrion Pascher, 1913",currently accepted taxonomically,genus,2023-06-16,Pascher
Ochromonas,Ochromonas,1,1,1,Chromista,Ochrophyta,Chrysophyceae,Ochromonadales,Ochromonadaceae,Ochromonas,NA,NA,"Ochromonas Vysotskii, 1887",currently accepted taxonomically,genus,2022-10-26,Vysotskii
Pseudokephyrion ellipsoideum,Pseudokephyrion ellipsoideum,1,1,0,Chromista,Ochrophyta,Chrysophyceae,Chromulinales,Dinobryaceae,Pseudokephyrion,ellipsoideum,NA,Pseudokephyrion ellipsoideum (Pascher) Conrad,currently accepted taxonomically,species,2018-06-21,(Pascher) Conrad
Pseudokephyrion pseudospirale,Pseudokephyrion pseudospirale,1,1,0,Chromista,Ochrophyta,Chrysophyceae,Chromulinales,Dinobryaceae,Pseudokephyrion,pseudospirale,NA,Pseudokephyrion pseudospirale Bourrelly,currently accepted taxonomically,species,2018-06-21,Bourrelly
Pseudokephyrion ruttneri,Pseudokephyrion ruttneri,1,1,0,Chromista,Ochrophyta,Chrysophyceae,Chromulinales,Dinobryaceae,Pseudokephyrion,ruttneri,NA,Pseudokephyrion ruttneri (Schiller) Gerlinde Schmidt,currently accepted taxonomically,species,2015-01-16,(Schiller) Gerlinde Schmidt
Pseudokephyrion,Pseudokephyrion,1,1,1,Chromista,Ochrophyta,Chrysophyceae,Chromulinales,Dinobryaceae,Pseudokephyrion,NA,NA,"Pseudokephyrion Pascher, 1913",currently accepted taxonomically,genus,2023-06-16,Pascher
Strombidium,Strombidium,1,1,1,Chromista,Ciliophora,Ciliatea,Oligotrichida,Strombidiidae,Strombidium,NA,NA,"Strombidium Claparède & Lachmann, 1859",currently accepted taxonomically,genus,2012-06-08,Claparède & Lachmann
Strombidium,Strombidium,1,1,1,Chromista,Ciliophora,Ciliatea,Oligotrichida,Strombidiidae,Strombidium,NA,NA,"Strombidium Claparède & Lachmann, 1859",currently accepted taxonomically,genus,2012-06-08,Claparède & Lachmann
Cladophora,Cladophora,1,1,1,Plantae,Chlorophyta,Ulvophyceae,Cladophorales,Cladophoraceae,Cladophora,NA,NA,"Cladophora Kützing, 1843, nom. cons.",currently accepted taxonomically,genus,2023-04-19,Kützing
Calyptrosphaera,Calyptrosphaera,1,1,1,Chromista,Haptophyta,Coccolithophyceae,Coccolithales,Calyptrosphaeraceae,Calyptrosphaera,NA,NA,"Calyptrosphaera Lohmann, 1902",currently accepted taxonomically,genus,2014-09-23,Lohmann
Urosolenia,Urosolenia,1,1,1,Chromista,Bacillariophyta,Coscinodiscophyceae,Rhizosoleniales,Rhizosoleniaceae,Urosolenia,NA,NA,"Urosolenia Round & R.M.Crawford, 1990",currently accepted taxonomically,genus,2016-06-17,Round & R.M.Crawford
Actinoptychus senarius,Actinoptychus senarius,1,1,0,Chromista,Bacillariophyta,Coscinodiscophyceae,Coscinodiscales,Heliopeltaceae,Actinoptychus,senarius,NA,Actinoptychus senarius (Ehrenberg) Ehrenberg,currently accepted taxonomically,species,2023-06-07,(Ehrenberg) Ehrenberg
Actinoptychus,Actinoptychus,1,1,1,Chromista,Bacillariophyta,Coscinodiscophyceae,Coscinodiscales,Heliopeltaceae,Actinoptychus,NA,NA,"Actinoptychus Ehrenberg, 1843",currently accepted taxonomically,genus,2022-10-31,Ehrenberg
Asteromphalus,Asteromphalus,1,1,1,Chromista,Bacillariophyta,Coscinodiscophyceae,Asterolamprales,Asterolampraceae,Asteromphalus,NA,NA,"Asteromphalus Ehrenberg, 1844",currently accepted taxonomically,genus,2015-12-07,Ehrenberg
Attheya,Attheya,1,1,1,Chromista,Bacillariophyta,Mediophyceae,Biddulphiales,Attheyaceae,Attheya,NA,NA,"Attheya T.West, 1860",currently accepted taxonomically,genus,2016-11-09,T.West
Acanthoceras zachariasii,Attheya zachariasii,1,0,0,Chromista,Bacillariophyta,Mediophyceae,Biddulphiales,Attheyaceae,Attheya,zachariasii,NA,Attheya zachariasii Brun,homotypic or heterotypic synonym,species,2022-02-01,Brun
Aulacoseira alpigena,Aulacoseira alpigena,1,1,0,Chromista,Bacillariophyta,Coscinodiscophyceae,Aulacoseirales,Aulacoseiraceae,Aulacoseira,alpigena,NA,Aulacoseira alpigena (Grunow) Krammer,currently accepted taxonomically,species,2023-05-31,(Grunow) Krammer
Aulacoseira granulata var. curvata,Aulacoseira ambigua,0,0,0,Chromista,Bacillariophyta,Coscinodiscophyceae,Aulacoseirales,Aulacoseiraceae,Aulacoseira,ambigua,curvata,Aulacoseira ambigua var. curvata (Grunow) L.Yang & Q.X.Wang,homotypic or heterotypic synonym,variety,2023-06-21,(Grunow) L.Yang & Q.X.Wang
Aulacoseira granulata var. valida,Aulacoseira granulata,0,1,0,Chromista,Bacillariophyta,Coscinodiscophyceae,Aulacoseirales,Aulacoseiraceae,Aulacoseira,granulata,valida,Aulacoseira granulata var. valida (Hustedt) Simonsen,currently accepted taxonomically,variety,2023-05-31,(Hustedt) Simonsen
Aulacoseira granulata,Aulacoseira granulata,1,1,0,Chromista,Bacillariophyta,Coscinodiscophyceae,Aulacoseirales,Aulacoseiraceae,Aulacoseira,granulata,NA,Aulacoseira granulata (Ehrenberg) Simonsen,currently accepted taxonomically,species,2023-05-31,(Ehrenberg) Simonsen
Aulacoseira helvetica,Aulacoseira distans,0,0,0,Chromista,Bacillariophyta,Coscinodiscophyceae,Aulacoseirales,Aulacoseiraceae,Aulacoseira,distans,helvetica,Aulacoseira distans var. helvetica (Hustedt) Simonsen,homotypic or heterotypic synonym,variety,2023-05-31,(Hustedt) Simonsen
Aulacoseira distans,Aulacoseira distans,1,1,0,Chromista,Bacillariophyta,Coscinodiscophyceae,Aulacoseirales,Aulacoseiraceae,Aulacoseira,distans,NA,Aulacoseira distans (Ehrenberg) Simonsen,currently accepted taxonomically,species,2023-05-31,(Ehrenberg) Simonsen
Aulacoseira granulata var. valida,Aulacoseira granulata,0,1,0,Chromista,Bacillariophyta,Coscinodiscophyceae,Aulacoseirales,Aulacoseiraceae,Aulacoseira,granulata,valida,Aulacoseira granulata var. valida (Hustedt) Simonsen,currently accepted taxonomically,variety,2023-05-31,(Hustedt) Simonsen
Aulacoseira granulata,Aulacoseira granulata,1,1,0,Chromista,Bacillariophyta,Coscinodiscophyceae,Aulacoseirales,Aulacoseiraceae,Aulacoseira,granulata,NA,Aulacoseira granulata (Ehrenberg) Simonsen,currently accepted taxonomically,species,2023-05-31,(Ehrenberg) Simonsen
Aulacoseira granulata var. valida,Aulacoseira granulata,0,1,0,Chromista,Bacillariophyta,Coscinodiscophyceae,Aulacoseirales,Aulacoseiraceae,Aulacoseira,granulata,valida,Aulacoseira granulata var. valida (Hustedt) Simonsen,currently accepted taxonomically,variety,2023-05-31,(Hustedt) Simonsen
Aulacoseira granulata,Aulacoseira granulata,1,1,0,Chromista,Bacillariophyta,Coscinodiscophyceae,Aulacoseirales,Aulacoseiraceae,Aulacoseira,granulata,NA,Aulacoseira granulata (Ehrenberg) Simonsen,currently accepted taxonomically,species,2023-05-31,(Ehrenberg) Simonsen
Aulacoseira italica,Aulacoseira italica,1,1,0,Chromista,Bacillariophyta,Coscinodiscophyceae,Aulacoseirales,Aulacoseiraceae,Aulacoseira,italica,NA,Aulacoseira italica (Ehrenberg) Simonsen,currently accepted taxonomically,species,2023-04-25,(Ehrenberg) Simonsen
Aulacoseira,Aulacoseira,1,1,1,Chromista,Bacillariophyta,Coscinodiscophyceae,Aulacoseirales,Aulacoseiraceae,Aulacoseira,NA,NA,"Aulacoseira Thwaites, 1848",currently accepted taxonomically,genus,2022-06-12,Thwaites
Pleurosira laevis,Biddulphia laevis,1,0,0,Chromista,Bacillariophyta,Mediophyceae,Biddulphiales,Biddulphiaceae,Biddulphia,laevis,NA,Biddulphia laevis Ehrenberg,homotypic or heterotypic synonym,species,2022-11-30,Ehrenberg
Biddulphia,Biddulphia,1,1,1,Chromista,Bacillariophyta,Mediophyceae,Biddulphiales,Biddulphiaceae,Biddulphia,NA,NA,"Biddulphia S.F.Gray, 1821",currently accepted taxonomically,genus,2023-01-31,S.F.Gray
Cerataulina,Cerataulina,1,1,1,Chromista,Bacillariophyta,Mediophyceae,Hemiaulales,Hemiaulaceae,Cerataulina,NA,NA,"Cerataulina H.Peragallo ex F.Schütt, 1896, nom. cons.",currently accepted taxonomically,genus,2015-10-19,H.Peragallo ex F.Schütt
Actinocyclus,Actinocyclus,1,1,1,Chromista,Bacillariophyta,Coscinodiscophyceae,Coscinodiscales,Hemidiscaceae,Actinocyclus,NA,NA,"Actinocyclus Ehrenberg, 1837",currently accepted taxonomically,genus,2022-10-31,Ehrenberg
Aulacoseira,Aulacoseira,1,1,1,Chromista,Bacillariophyta,Coscinodiscophyceae,Aulacoseirales,Aulacoseiraceae,Aulacoseira,NA,NA,"Aulacoseira Thwaites, 1848",currently accepted taxonomically,genus,2022-06-12,Thwaites
Coscinodiscus,Coscinodiscus,1,1,1,Chromista,Bacillariophyta,Coscinodiscophyceae,Coscinodiscales,Coscinodiscaceae,Coscinodiscus,NA,NA,"Coscinodiscus Ehrenberg, 1839, nom. et typ. cons.",currently accepted taxonomically,genus,2015-10-19,Ehrenberg
Praecyclostephanos,Cyclostephanos,0,1,1,Chromista,Bacillariophyta,Coscinodiscophyceae,Aulacoseirales,Aulacoseiraceae,Praecyclostephanos,NA,NA,"Praecyclostephanos Tudesque, Le Cohu & Van de Vijver, 2021",currently accepted taxonomically,genus,2022-07-01,"Tudesque, Le Cohu & Van de Vijver"
Cyclotella,Cyclotella,1,1,1,Chromista,Bacillariophyta,Mediophyceae,Stephanodiscales,Stephanodiscaceae,Cyclotella,NA,NA,"Cyclotella (Kützing) Brébisson, 1838, nom. et typ. cons.",currently accepted taxonomically,genus,2015-10-19,(Kützing) Brébisson
Skeletonema,Skeletonema,1,1,1,Chromista,Bacillariophyta,Mediophyceae,Thalassiosirales,Skeletonemataceae,Skeletonema,NA,NA,"Skeletonema Greville, 1865, nom. et typ. cons.",currently accepted taxonomically,genus,2022-12-28,Greville
Stephanocyclus,Stephanocyclus,1,1,1,Chromista,Bacillariophyta,Mediophyceae,Thalassiosirales,Thalassiosiraceae,Stephanocyclus,NA,NA,"Stephanocyclus Skabitschevsky, 1975",currently accepted taxonomically,genus,2022-09-02,Skabitschevsky
Stephanocyclus,Stephanocyclus,1,1,1,Chromista,Bacillariophyta,Mediophyceae,Thalassiosirales,Thalassiosiraceae,Stephanocyclus,NA,NA,"Stephanocyclus Skabitschevsky, 1975",currently accepted taxonomically,genus,2022-09-02,Skabitschevsky
Stephanodiscus,Stephanodiscus,1,1,1,Chromista,Bacillariophyta,Mediophyceae,Stephanodiscales,Stephanodiscaceae,Stephanodiscus,NA,NA,"Stephanodiscus Ehrenberg, 1845",currently accepted taxonomically,genus,2018-02-20,Ehrenberg
Thalassiosira,Thalassiosira,1,1,1,Chromista,Bacillariophyta,Mediophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,NA,NA,"Thalassiosira Cleve, 1873",currently accepted taxonomically,genus,2022-08-20,Cleve
Chaetoceros elmorei,Chaetoceros elmorei,1,1,0,Chromista,Bacillariophyta,Mediophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,elmorei,NA,Chaetoceros elmorei Boyer,currently accepted taxonomically,species,2022-11-09,Boyer
Chaetoceros,Chaetoceros,1,1,1,Chromista,Bacillariophyta,Mediophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,NA,NA,"Chaetoceros Ehrenberg, 1844",currently accepted taxonomically,genus,2023-06-08,Ehrenberg
Corethron hystrix,Corethron hystrix,1,1,0,Chromista,Bacillariophyta,Coscinodiscophyceae,Corethrales,Corethraceae,Corethron,hystrix,NA,Corethron hystrix Hensen,currently accepted taxonomically,species,2021-01-12,Hensen
Coscinodiscus radiatus var. abyssalis,Coscinodiscus radiatus,0,1,0,Chromista,Bacillariophyta,Coscinodiscophyceae,Coscinodiscales,Coscinodiscaceae,Coscinodiscus,radiatus,abyssalis,Coscinodiscus radiatus var. abyssalis Castracane,currently accepted taxonomically,variety,2022-06-17,Castracane
Coscinodiscus radiatus,Coscinodiscus radiatus,1,1,0,Chromista,Bacillariophyta,Coscinodiscophyceae,Coscinodiscales,Coscinodiscaceae,Coscinodiscus,radiatus,NA,Coscinodiscus radiatus Ehrenberg,currently accepted taxonomically,species,2022-06-17,Ehrenberg
Cestodiscus denarius,Coscinodiscus denarius,1,0,0,Chromista,Bacillariophyta,Coscinodiscophyceae,Coscinodiscales,Coscinodiscaceae,Coscinodiscus,denarius,NA,Coscinodiscus denarius A.W.F.Schmidt,homotypic or heterotypic synonym,species,2022-08-09,A.W.F.Schmidt
Coscinodiscus radiatus var. abyssalis,Coscinodiscus radiatus,0,1,0,Chromista,Bacillariophyta,Coscinodiscophyceae,Coscinodiscales,Coscinodiscaceae,Coscinodiscus,radiatus,abyssalis,Coscinodiscus radiatus var. abyssalis Castracane,currently accepted taxonomically,variety,2022-06-17,Castracane
Coscinodiscus radiatus,Coscinodiscus radiatus,1,1,0,Chromista,Bacillariophyta,Coscinodiscophyceae,Coscinodiscales,Coscinodiscaceae,Coscinodiscus,radiatus,NA,Coscinodiscus radiatus Ehrenberg,currently accepted taxonomically,species,2022-06-17,Ehrenberg
Coscinodiscus,Coscinodiscus,1,1,1,Chromista,Bacillariophyta,Coscinodiscophyceae,Coscinodiscales,Coscinodiscaceae,Coscinodiscus,NA,NA,"Coscinodiscus Ehrenberg, 1839, nom. et typ. cons.",currently accepted taxonomically,genus,2015-10-19,Ehrenberg
