"","Year","Date","Survey","Station","turbidity","Secchi"
"199",1969,1969-12-18,6,"806",13,0.730000019073486
"200",1969,1969-12-18,6,"807",2,2.23000001907349
"201",1969,1969-12-18,6,"808",9,0.970000028610229
"202",1969,1969-12-18,6,"809",9,0.970000028610229
"203",1969,1969-12-18,6,"810",11,0.829999983310699
"204",1969,1969-12-18,6,"811",28,0.379999995231628
"205",1969,1969-12-18,6,"812",15,0.649999976158142
"206",1969,1969-12-18,6,"813",12,0.779999971389771
"207",1969,1969-12-18,6,"814",16,0.620000004768372
"208",1969,1969-12-18,6,"815",18,0.560000002384186
"209",1969,1969-12-18,6,"901",12,0.779999971389771
"210",1969,1969-12-19,6,"902",17,0.589999973773956
"211",1969,1969-12-18,6,"903",46,0.239999994635582
"212",1969,1969-12-19,6,"904",23,0.449999988079071
"213",1969,1969-12-19,6,"905",24,0.439999997615814
"214",1969,1969-12-19,6,"906",16,0.620000004768372
"215",1969,1969-12-19,6,"907",13,0.730000019073486
"216",1969,1969-12-19,6,"908",17,0.589999973773956
"217",1969,1969-12-19,6,"909",14,0.689999997615814
"218",1969,1969-12-19,6,"910",12,0.779999971389771
"219",1969,1969-12-19,6,"913",19,0.529999971389771
"220",1969,1969-12-19,6,"914",16,0.620000004768372
"221",1969,1969-12-19,6,"915",17,0.589999973773956
"222",1970,1970-08-21,2,"201",4,1.62000000476837
"223",1970,1970-08-21,2,"202",5,1.42999994754791
"224",1970,1970-08-21,2,"203",7,1.14999997615814
"225",1970,1970-08-21,2,"204",6,1.26999998092651
"226",1970,1970-08-21,2,"207",7,1.14999997615814
"227",1970,1970-08-21,2,"208",5,1.42999994754791
"228",1970,1970-08-21,2,"209",4,1.62000000476837
"229",1970,1970-08-21,2,"210",4,1.62000000476837
"230",1970,1970-08-21,2,"211",9,0.970000028610229
"231",1970,1970-08-21,2,"305",5,1.42999994754791
"232",1970,1970-08-21,2,"314",9,0.970000028610229
"233",1970,1970-08-21,2,"321",10,0.889999985694885
"234",1970,1970-08-21,2,"323",16,0.620000004768372
"235",1970,1970-08-21,2,"324",10,0.889999985694885
"236",1970,1970-08-21,2,"328",17,0.589999973773956
"237",1970,1970-08-21,2,"338",6,1.26999998092651
"238",1970,1970-08-22,2,"340",6,1.26999998092651
"239",1970,1970-08-22,2,"401",7,1.14999997615814
"240",1970,1970-08-22,2,"403",27,0.400000005960464
"241",1970,1970-08-22,2,"404",6,1.26999998092651
"242",1970,1970-08-22,2,"405",11,0.829999983310699
"243",1970,1970-08-22,2,"406",4,1.62000000476837
"244",1970,1970-08-22,2,"407",11,0.829999983310699
"245",1970,1970-08-22,2,"408",7,1.14999997615814
"246",1970,1970-08-23,2,"410",13,0.730000019073486
