"","Date","Flashboards","Gate 1","Gate 2","Gate 3","Remark","Operating"
"49",1988-12-19,"IN","OP","OP","OP","full bore operation","Operating normally"
"50",1988-12-20,"IN","OP","OP","OP","full bore operation","Operating normally"
"51",1988-12-21,"IN","OP","OP","OP","full bore operation","Operating normally"
"52",1988-12-22,"IN","OP","OP","OP","full bore operation","Operating normally"
"53",1988-12-23,"IN","OP","OP","OP","full bore operation","Operating normally"
"54",1988-12-24,"IN","OP","OP","OP","full bore operation","Operating normally"
"55",1988-12-25,"IN","OP","OP","OP","full bore operation","Operating normally"
"56",1988-12-26,"IN","OP","OP","OP","full bore operation","Operating normally"
"57",1988-12-27,"IN","OP","OP","OP","full bore operation","Operating normally"
"58",1988-12-28,"IN","OP","OP","OP","full bore operation","Operating normally"
"59",1988-12-29,"IN","OP","OP","OP","full bore operation","Operating normally"
"60",1988-12-30,"IN","OP","OP","OP","full bore operation","Operating normally"
"61",1988-12-31,"IN","OP","OP","OP","full bore operation","Operating normally"
"62",1989-01-01,"IN","OP","OP","OP","full bore operation","Operating normally"
"63",1989-01-02,"IN","OP","OP","OP","full bore operation","Operating normally"
"64",1989-01-03,"IN","OP","OP","OP","full bore operation","Operating normally"
"65",1989-01-04,"IN","OP","OP","OP","full bore operation","Operating normally"
"66",1989-01-05,"IN","OP","OP","OP","full bore operation","Operating normally"
"67",1989-01-06,"IN","OP","OP","OP","full bore operation","Operating normally"
"68",1989-01-07,"IN","OP","OP","OP","full bore operation","Operating normally"
"69",1989-01-08,"IN","OP","OP","OP","full bore operation","Operating normally"
"70",1989-01-09,"IN","OP","OP","OP","full bore operation","Operating normally"
"71",1989-01-10,"IN","OP","OP","OP","full bore operation","Operating normally"
"72",1989-01-11,"IN","OP","OP","OP","full bore operation","Operating normally"
"73",1989-01-12,"IN","OP","OP","OP","full bore operation","Operating normally"
"74",1989-01-13,"IN","OP","OP","OP","full bore operation","Operating normally"
"75",1989-01-14,"IN","OP","OP","OP","full bore operation","Operating normally"
"76",1989-01-15,"IN","OP","OP","OP","full bore operation","Operating normally"
"77",1989-01-16,"IN","OP","OP","OP","full bore operation","Operating normally"
"78",1989-01-17,"IN","OP","OP","OP","full bore operation","Operating normally"
"79",1989-01-18,"IN","OP","OP","OP","full bore operation","Operating normally"
"80",1989-01-19,"IN","OP","OP","OP","full bore operation","Operating normally"
"81",1989-01-20,"IN","OP","OP","OP","full bore operation","Operating normally"
"82",1989-01-21,"IN","OP","OP","OP","full bore operation","Operating normally"
"83",1989-01-22,"IN","OP","OP","OP","full bore operation","Operating normally"
"84",1989-01-23,"IN","OP","OP","OP","full bore operation","Operating normally"
"85",1989-01-24,"IN","OP","OP","OP","full bore operation","Operating normally"
"86",1989-01-25,"IN","OP","OP","OP","full bore operation","Operating normally"
"87",1989-01-26,"IN","OP","OP","OP","full bore operation","Operating normally"
"88",1989-01-27,"IN","OP","OP","OP","full bore operation","Operating normally"
"89",1989-01-28,"IN","OP","OP","OP","full bore operation","Operating normally"
"90",1989-01-29,"IN","OP","OP","OP","full bore operation","Operating normally"
"91",1989-01-30,"IN","OP","OP","OP","full bore operation","Operating normally"
"92",1989-01-31,"IN","OP","OP","OP","full bore operation","Operating normally"
"93",1989-02-01,"IN","OP","OP","OP","full bore operation","Operating normally"
"94",1989-02-02,"IN","OP","OP","OP","full bore operation","Operating normally"
"95",1989-02-03,"IN","OP","OP","OP","full bore operation","Operating normally"
"96",1989-02-04,"IN","OP","OP","OP","full bore operation","Operating normally"
"97",1989-02-05,"IN","OP","OP","OP","full bore operation","Operating normally"
"98",1989-02-06,"IN","OP","OP","OP","full bore operation","Operating normally"
"99",1989-02-07,"IN","OP","OP","OP","full bore operation","Operating normally"
"100",1989-02-08,"IN","OP","OP","OP","full bore operation","Operating normally"
"101",1989-02-09,"IN","OP","OP","OP","full bore operation","Operating normally"
"102",1989-02-10,"IN","OP","OP","OP","full bore operation","Operating normally"
"103",1989-02-11,"IN","OP","OP","OP","full bore operation","Operating normally"
"104",1989-02-12,"IN","OP","OP","OP","full bore operation","Operating normally"
"105",1989-02-13,"IN","OP","OP","OP","full bore operation","Operating normally"
"106",1989-02-14,"IN","OP","OP","OP","full bore operation","Operating normally"
"107",1989-02-15,"IN","OP","OP","OP","full bore operation","Operating normally"
"108",1989-02-16,"IN","OP","OP","OP","full bore operation","Operating normally"
"109",1989-02-17,"IN","OP","OP","OP","full bore operation","Operating normally"
"110",1989-02-18,"IN","OP","OP","OP","full bore operation","Operating normally"
"111",1989-02-19,"IN","OP","OP","OP","full bore operation","Operating normally"
"112",1989-02-20,"IN","OP","OP","OP","full bore operation","Operating normally"
"113",1989-02-21,"IN","OP","OP","OP","full bore operation","Operating normally"
"114",1989-02-22,"IN","OP","OP","OP","full bore operation","Operating normally"
"115",1989-02-23,"IN","OP","OP","OP","full bore operation","Operating normally"
"116",1989-02-24,"IN","OP","OP","OP","full bore operation","Operating normally"
"117",1989-02-25,"IN","OP","OP","OP","full bore operation","Operating normally"
"118",1989-02-26,"IN","OP","OP","OP","full bore operation","Operating normally"
"119",1989-02-27,"IN","OP","OP","OP","full bore operation","Operating normally"
"120",1989-02-28,"IN","OP","OP","OP","full bore operation","Operating normally"
"121",1989-03-01,"IN","OP","OP","OP","full bore operation","Operating normally"
"122",1989-03-02,"IN","OP","OP","OP","full bore operation","Operating normally"
"123",1989-03-03,"IN","OP","OP","OP","full bore operation","Operating normally"
"124",1989-03-04,"IN","OP","OP","OP","full bore operation","Operating normally"
"125",1989-03-05,"IN","OP","OP","OP","full bore operation","Operating normally"
"126",1989-03-06,"IN","OP","OP","OP","full bore operation","Operating normally"
"127",1989-03-07,"IN","OP","OP","OP","full bore operation","Operating normally"
"128",1989-03-08,"IN","OP","OP","OP","full bore operation","Operating normally"
"129",1989-03-09,"IN","OP","OP","OP","full bore operation","Operating normally"
"130",1989-03-10,"IN","OP","OP","OP","full bore operation","Operating normally"
"131",1989-03-11,"IN","OP","OP","OP","full bore operation","Operating normally"
"132",1989-03-12,"IN","OP","OP","OP","full bore operation","Operating normally"
"133",1989-03-13,"IN","OP","OP","OP","full bore operation","Operating normally"
"134",1989-03-14,"IN","OP","OP","OP","full bore operation","Operating normally"
"135",1989-03-15,"IN","OP","OP","OP","full bore operation","Operating normally"
"136",1989-03-16,"IN","OP","OP","OP","full bore operation","Operating normally"
"137",1989-03-17,"IN","OP","OP","OP","full bore operation","Operating normally"
"138",1989-03-18,"IN","OP","OP","OP","full bore operation","Operating normally"
"139",1989-03-19,"IN","OP","OP","OP","full bore operation","Operating normally"
"140",1989-03-20,"IN","OP","OP","OP","full bore operation","Operating normally"
"141",1989-03-21,"IN","OP","OP","OP","full bore operation","Operating normally"
"142",1989-03-22,"IN","OP","OP","OP","full bore operation","Operating normally"
"143",1989-03-23,"IN","OP","OP","OP","full bore operation","Operating normally"
"144",1989-03-24,"IN","OP","OP","OP","full bore operation","Operating normally"
"145",1989-03-25,"IN","OP","OP","OP","full bore operation","Operating normally"
"146",1989-03-26,"IN","OP","OP","OP","full bore operation","Operating normally"
"147",1989-03-27,"IN","OP","OP","OP","full bore operation","Operating normally"
"148",1989-03-28,"IN","OP","OP","OP","full bore operation","Operating normally"
"149",1989-03-29,"IN","OP","OP","OP","full bore operation","Operating normally"
"150",1989-03-30,"IN","OP","OP","OP","full bore operation","Operating normally"
"151",1989-03-31,"IN","OP","OP","OP","full bore operation","Operating normally"
"152",1989-04-01,"IN","OP","OP","OP","full bore operation","Operating normally"
"153",1989-04-02,"IN","OP","OP","OP","full bore operation","Operating normally"
"154",1989-04-03,"IN","OP","OP","OP","full bore operation","Operating normally"
"155",1989-04-04,"IN","OP","OP","OP","full bore operation","Operating normally"
"156",1989-04-05,"IN","OP","OP","OP","full bore operation","Operating normally"
"157",1989-04-06,"IN","OP","OP","OP","full bore operation","Operating normally"
"158",1989-04-07,"OUT","O","O","O","3 gates held open","Open"
"159",1989-04-08,"OUT","O","O","O","3 gates held open","Open"
"160",1989-04-09,"OUT","O","O","O","3 gates held open","Open"
"161",1989-04-10,"OUT","O","O","O","3 gates held open","Open"
"162",1989-04-11,"OUT","O","O","O","3 gates held open","Open"
"163",1989-04-12,"OUT","O","O","O","3 gates held open","Open"
"164",1989-04-13,"OUT","O","O","O","3 gates held open","Open"
"165",1989-04-14,"OUT","O","O","O","3 gates held open","Open"
"166",1989-04-15,"OUT","O","O","O","3 gates held open","Open"
"167",1989-04-16,"OUT","O","O","O","3 gates held open","Open"
"168",1989-04-17,"OUT","O","O","O","3 gates held open","Open"
"169",1989-04-18,"OUT","O","O","O","3 gates held open","Open"
"170",1989-04-19,"OUT","O","O","O","3 gates held open","Open"
"171",1989-04-20,"OUT","O","O","O","3 gates held open","Open"
"172",1989-04-21,"OUT","O","O","O","3 gates held open","Open"
"173",1989-04-22,"OUT","O","O","O","3 gates held open","Open"
"174",1989-04-23,"OUT","O","O","O","3 gates held open","Open"
"175",1989-04-24,"OUT","O","O","O","3 gates held open","Open"
"176",1989-04-25,"OUT","O","O","O","3 gates held open","Open"
"177",1989-04-26,"OUT","O","O","O","3 gates held open","Open"
"178",1989-04-27,"OUT","O","O","O","3 gates held open","Open"
"179",1989-04-28,"OUT","O","O","O","3 gates held open","Open"
"180",1989-04-29,"OUT","O","O","O","3 gates held open","Open"
"181",1989-04-30,"OUT","O","O","O","3 gates held open","Open"
"182",1989-05-01,"OUT","O","O","O","3 gates held open","Open"
"183",1989-05-02,"OUT","O","O","O","3 gates held open","Open"
"184",1989-05-03,"OUT","O","O","O","3 gates held open","Open"
"185",1989-05-04,"OUT","O","O","O","3 gates held open","Open"
"186",1989-05-05,"OUT","O","O","O","3 gates held open","Open"
"187",1989-05-06,"OUT","O","O","O","3 gates held open","Open"
"188",1989-05-07,"OUT","O","O","O","3 gates held open","Open"
"189",1989-05-08,"OUT","O","O","O","3 gates held open","Open"
"190",1989-05-09,"OUT","O","O","O","3 gates held open","Open"
"191",1989-05-10,"OUT","O","O","O","3 gates held open","Open"
"192",1989-05-11,"OUT","O","O","O","3 gates held open","Open"
"193",1989-05-12,"OUT","O","O","O","3 gates held open","Open"
"194",1989-05-13,"OUT","O","O","O","3 gates held open","Open"
"195",1989-05-14,"OUT","O","O","O","3 gates held open","Open"
"196",1989-05-15,"OUT","O","O","O","3 gates held open","Open"
"197",1989-05-16,"OUT","O","O","O","3 gates held open","Open"
"198",1989-05-17,"OUT","O","O","O","3 gates held open","Open"
"199",1989-05-18,"OUT","O","O","O","3 gates held open","Open"
"200",1989-05-19,"OUT","O","O","O","3 gates held open","Open"
"201",1989-05-20,"OUT","O","O","O","3 gates held open","Open"
"202",1989-05-21,"OUT","O","O","O","3 gates held open","Open"
"203",1989-05-22,"OUT","O","O","O","3 gates held open","Open"
"204",1989-05-23,"OUT","O","O","O","3 gates held open","Open"
"205",1989-05-24,"OUT","O","O","O","3 gates held open","Open"
"206",1989-05-25,"OUT","O","O","O","3 gates held open","Open"
"207",1989-05-26,"OUT","O","O","O","3 gates held open","Open"
"208",1989-05-27,"OUT","O","O","O","3 gates held open","Open"
"209",1989-05-28,"OUT","O","O","O","3 gates held open","Open"
"210",1989-05-29,"OUT","O","O","O","3 gates held open","Open"
"211",1989-05-30,"OUT","O","O","O","3 gates held open","Open"
"212",1989-05-31,"OUT","O","O","O","3 gates held open","Open"
"213",1989-06-01,"OUT","O","O","O","3 gates held open","Open"
"214",1989-06-02,"OUT","O","O","O","3 gates held open","Open"
"215",1989-06-03,"OUT","O","O","O","3 gates held open","Open"
"216",1989-06-04,"OUT","O","O","O","3 gates held open","Open"
"217",1989-06-05,"OUT","O","O","O","3 gates held open","Open"
"218",1989-06-06,"OUT","O","O","O","3 gates held open","Open"
"219",1989-06-07,"OUT","O","O","O","3 gates held open","Open"
"220",1989-06-08,"OUT","O","O","O","3 gates held open","Open"
"221",1989-06-09,"OUT","O","O","O","3 gates held open","Open"
"222",1989-06-10,"OUT","O","O","O","3 gates held open","Open"
"223",1989-06-11,"OUT","O","O","O","3 gates held open","Open"
"224",1989-06-12,"OUT","O","O","O","3 gates held open","Open"
"225",1989-06-13,"OUT","O","O","O","3 gates held open","Open"
"226",1989-06-14,"OUT","O","O","O","3 gates held open","Open"
"227",1989-06-15,"OUT","O","O","O","3 gates held open","Open"
"228",1989-06-16,"OUT","O","O","O","3 gates held open","Open"
"229",1989-06-17,"OUT","O","O","O","3 gates held open","Open"
"230",1989-06-18,"OUT","O","O","O","3 gates held open","Open"
"231",1989-06-19,"OUT","O","O","O","3 gates held open","Open"
"232",1989-06-20,"OUT","O","O","O","3 gates held open","Open"
"233",1989-06-21,"OUT","O","O","O","3 gates held open","Open"
"234",1989-06-22,"OUT","O","O","O","3 gates held open","Open"
"235",1989-06-23,"OUT","O","O","O","3 gates held open","Open"
"236",1989-06-24,"OUT","O","O","O","3 gates held open","Open"
"237",1989-06-25,"OUT","O","O","O","3 gates held open","Open"
"238",1989-06-26,"OUT","O","O","O","3 gates held open","Open"
"239",1989-06-27,"OUT","O","O","O","3 gates held open","Open"
"240",1989-06-28,"OUT","O","O","O","3 gates held open","Open"
"241",1989-06-29,"OUT","O","O","O","3 gates held open","Open"
"242",1989-06-30,"OUT","O","O","O","3 gates held open","Open"
"243",1989-07-01,"OUT","O","O","O","3 gates held open","Open"
"244",1989-07-02,"OUT","O","O","O","3 gates held open","Open"
"245",1989-07-03,"OUT","O","O","O","3 gates held open","Open"
"246",1989-07-04,"OUT","O","O","O","3 gates held open","Open"
"247",1989-07-05,"OUT","O","O","O","3 gates held open","Open"
"248",1989-07-06,"OUT","O","O","O","3 gates held open","Open"
"249",1989-07-07,"OUT","O","O","O","3 gates held open","Open"
"250",1989-07-08,"OUT","O","O","O","3 gates held open","Open"
"251",1989-07-09,"OUT","O","O","O","3 gates held open","Open"
"252",1989-07-10,"OUT","O","O","O","3 gates held open","Open"
"253",1989-07-11,"OUT","O","O","O","3 gates held open","Open"
"254",1989-07-12,"OUT","O","O","O","3 gates held open","Open"
"255",1989-07-13,"OUT","O","O","O","3 gates held open","Open"
"256",1989-07-14,"OUT","O","O","O","3 gates held open","Open"
"257",1989-07-15,"OUT","O","O","O","3 gates held open","Open"
"258",1989-07-16,"OUT","O","O","O","3 gates held open","Open"
"259",1989-07-17,"OUT","O","O","O","3 gates held open","Open"
"260",1989-07-18,"OUT","O","O","O","3 gates held open","Open"
"261",1989-07-19,"OUT","O","O","O","3 gates held open","Open"
"262",1989-07-20,"OUT","O","O","O","3 gates held open","Open"
"263",1989-07-21,"OUT","O","O","O","3 gates held open","Open"
"264",1989-07-22,"OUT","O","O","O","3 gates held open","Open"
"265",1989-07-23,"OUT","O","O","O","3 gates held open","Open"
"266",1989-07-24,"OUT","O","O","O","3 gates held open","Open"
"267",1989-07-25,"OUT","O","O","O","3 gates held open","Open"
"268",1989-07-26,"OUT","O","O","O","3 gates held open","Open"
"269",1989-07-27,"OUT","O","O","O","3 gates held open","Open"
"270",1989-07-28,"OUT","O","O","O","3 gates held open","Open"
"271",1989-07-29,"OUT","O","O","O","3 gates held open","Open"
"272",1989-07-30,"OUT","O","O","O","3 gates held open","Open"
"273",1989-07-31,"OUT","O","O","O","3 gates held open","Open"
"274",1989-08-01,"OUT","O","O","O","3 gates held open","Open"
"275",1989-08-02,"OUT","O","O","O","3 gates held open","Open"
"276",1989-08-03,"OUT","O","O","O","3 gates held open","Open"
"277",1989-08-04,"OUT","O","O","O","3 gates held open","Open"
"278",1989-08-05,"OUT","O","O","O","3 gates held open","Open"
"279",1989-08-06,"OUT","O","O","O","3 gates held open","Open"
"280",1989-08-07,"OUT","O","O","O","3 gates held open","Open"
"281",1989-08-08,"OUT","O","O","O","3 gates held open","Open"
"282",1989-08-09,"OUT","O","O","O","3 gates held open","Open"
"283",1989-08-10,"OUT","O","O","O","3 gates held open","Open"
"284",1989-08-11,"OUT","O","O","O","3 gates held open","Open"
"285",1989-08-12,"OUT","O","O","O","3 gates held open","Open"
"286",1989-08-13,"OUT","O","O","O","3 gates held open","Open"
"287",1989-08-14,"OUT","O","O","O","3 gates held open","Open"
"288",1989-08-15,"OUT","O","O","O","3 gates held open","Open"
"289",1989-08-16,"OUT","O","O","O","3 gates held open","Open"
"290",1989-08-17,"OUT","O","O","O","3 gates held open","Open"
"291",1989-08-18,"OUT","O","O","O","3 gates held open","Open"
"292",1989-08-19,"OUT","O","O","O","3 gates held open","Open"
"293",1989-08-20,"OUT","O","O","O","3 gates held open","Open"
"294",1989-08-21,"OUT","O","O","O","3 gates held open","Open"
"295",1989-08-22,"OUT","O","O","O","3 gates held open","Open"
"296",1989-08-23,"OUT","O","O","O","3 gates held open","Open"
"297",1989-08-24,"OUT","O","O","O","3 gates held open","Open"
"298",1989-08-25,"OUT","O","O","O","3 gates held open","Open"
"299",1989-08-26,"OUT","O","O","O","3 gates held open","Open"
"300",1989-08-27,"OUT","O","O","O","3 gates held open","Open"
"301",1989-08-28,"OUT","O","O","O","3 gates held open","Open"
"302",1989-08-29,"OUT","O","O","O","3 gates held open","Open"
"303",1989-08-30,"OUT","O","O","O","3 gates held open","Open"
"304",1989-08-31,"OUT","O","O","O","3 gates held open","Open"
"305",1989-09-01,"OUT","O","O","O","3 gates held open","Open"
"306",1989-09-02,"OUT","O","O","O","3 gates held open","Open"
"307",1989-09-03,"OUT","O","O","O","3 gates held open","Open"
"308",1989-09-04,"OUT","O","O","O","3 gates held open","Open"
"309",1989-09-05,"OUT","O","O","O","3 gates held open","Open"
"310",1989-09-06,"OUT","O","O","O","3 gates held open","Open"
"311",1989-09-07,"OUT","O","O","O","3 gates held open","Open"
"312",1989-09-08,"OUT","O","O","O","3 gates held open","Open"
"313",1989-09-09,"OUT","O","O","O","3 gates held open","Open"
"314",1989-09-10,"OUT","O","O","O","3 gates held open","Open"
"315",1989-09-11,"OUT","O","O","O","3 gates held open","Open"
"316",1989-09-12,"OUT","O","O","O","3 gates held open","Open"
"317",1989-09-13,"OUT","O","O","O","3 gates held open","Open"
"318",1989-09-14,"OUT","O","O","O","3 gates held open","Open"
"319",1989-09-15,"OUT","O","O","O","3 gates held open","Open"
"320",1989-09-16,"OUT","O","O","O","3 gates held open","Open"
"321",1989-09-17,"OUT","O","O","O","3 gates held open","Open"
"322",1989-09-18,"OUT","O","O","O","3 gates held open","Open"
"323",1989-09-19,"OUT","O","O","O","3 gates held open","Open"
"324",1989-09-20,"OUT","O","O","O","3 gates held open","Open"
"325",1989-09-21,"OUT","O","O","O","3 gates held open","Open"
"326",1989-09-22,"OUT","O","O","O","3 gates held open","Open"
"327",1989-09-23,"OUT","O","O","O","3 gates held open","Open"
"328",1989-09-24,"OUT","O","O","O","3 gates held open","Open"
"329",1989-09-25,"OUT","O","O","O","3 gates held open","Open"
"330",1989-09-26,"IN","OP","OP","OP","full bore operation","Operating normally"
"331",1989-09-27,"IN","OP","OP","OP","full bore operation","Operating normally"
"332",1989-09-28,"IN","OP","OP","OP","full bore operation","Operating normally"
"333",1989-09-29,"IN","OP","OP","OP","full bore operation","Operating normally"
"334",1989-09-30,"IN","OP","OP","OP","full bore operation","Operating normally"
"335",1989-10-01,"IN","OP","OP","OP","full bore operation","Operating normally"
"336",1989-10-02,"IN","OP","OP","OP","full bore operation","Operating normally"
"337",1989-10-03,"IN","OP","OP","OP","full bore operation","Operating normally"
"338",1989-10-04,"IN","OP","OP","OP","full bore operation","Operating normally"
"339",1989-10-05,"IN","OP","OP","OP","full bore operation","Operating normally"
"340",1989-10-06,"IN","OP","OP","OP","full bore operation","Operating normally"
"341",1989-10-07,"IN","OP","OP","OP","full bore operation","Operating normally"
"342",1989-10-08,"IN","OP","OP","OP","full bore operation","Operating normally"
"343",1989-10-09,"IN","OP","OP","OP","full bore operation","Operating normally"
"344",1989-10-10,"IN","OP","OP","OP","full bore operation","Operating normally"
"345",1989-10-11,"IN","OP","OP","OP","full bore operation","Operating normally"
"346",1989-10-12,"IN","OP","OP","OP","full bore operation","Operating normally"
"347",1989-10-13,"IN","OP","OP","OP","full bore operation","Operating normally"
"348",1989-10-14,"IN","OP","OP","OP","full bore operation","Operating normally"
"349",1989-10-15,"IN","OP","OP","OP","full bore operation","Operating normally"
"350",1989-10-16,"IN","OP","OP","OP","full bore operation","Operating normally"
"351",1989-10-17,"IN","OP","OP","OP","full bore operation","Operating normally"
"352",1989-10-18,"IN","OP","OP","OP","full bore operation","Operating normally"
"353",1989-10-19,"IN","OP","OP","OP","full bore operation","Operating normally"
"354",1989-10-20,"IN","OP","OP","OP","full bore operation","Operating normally"
"355",1989-10-21,"IN","OP","OP","OP","full bore operation","Operating normally"
"356",1989-10-22,"IN","OP","OP","OP","full bore operation","Operating normally"
"357",1989-10-23,"IN","OP","OP","OP","full bore operation","Operating normally"
"358",1989-10-24,"IN","OP","OP","OP","full bore operation","Operating normally"
"359",1989-10-25,"IN","OP","OP","OP","full bore operation","Operating normally"
"360",1989-10-26,"IN","OP","OP","OP","full bore operation","Operating normally"
"361",1989-10-27,"IN","OP","OP","OP","full bore operation","Operating normally"
"362",1989-10-28,"IN","OP","OP","OP","full bore operation","Operating normally"
"363",1989-10-29,"IN","OP","OP","OP","full bore operation","Operating normally"
"364",1989-10-30,"IN","OP","OP","OP","full bore operation","Operating normally"
"365",1989-10-31,"IN","OP","OP","OP","full bore operation","Operating normally"
"366",1989-11-01,"IN","OP","OP","OP","full bore operation","Operating normally"
"367",1989-11-02,"IN","OP","OP","OP","full bore operation","Operating normally"
"368",1989-11-03,"IN","OP","OP","OP","full bore operation","Operating normally"
"369",1989-11-04,"IN","OP","OP","OP","full bore operation","Operating normally"
"370",1989-11-05,"IN","OP","OP","OP","full bore operation","Operating normally"
"371",1989-11-06,"IN","OP","OP","OP","full bore operation","Operating normally"
"372",1989-11-07,"IN","OP","OP","OP","full bore operation","Operating normally"
"373",1989-11-08,"IN","OP","OP","OP","full bore operation","Operating normally"
"374",1989-11-09,"IN","OP","OP","OP","full bore operation","Operating normally"
"375",1989-11-10,"IN","OP","OP","OP","full bore operation","Operating normally"
"376",1989-11-11,"IN","OP","OP","OP","full bore operation","Operating normally"
"377",1989-11-12,"IN","OP","OP","OP","full bore operation","Operating normally"
"378",1989-11-13,"IN","OP","OP","OP","full bore operation","Operating normally"
"379",1989-11-14,"IN","OP","OP","OP","full bore operation","Operating normally"
"380",1989-11-15,"IN","OP","OP","OP","full bore operation","Operating normally"
"381",1989-11-16,"IN","OP","OP","OP","full bore operation","Operating normally"
"382",1989-11-17,"IN","OP","OP","OP","full bore operation","Operating normally"
"383",1989-11-18,"IN","OP","OP","OP","full bore operation","Operating normally"
"384",1989-11-19,"IN","OP","OP","OP","full bore operation","Operating normally"
"385",1989-11-20,"IN","OP","OP","OP","full bore operation","Operating normally"
"386",1989-11-21,"IN","OP","OP","OP","full bore operation","Operating normally"
"387",1989-11-22,"IN","OP","OP","OP","full bore operation","Operating normally"
"388",1989-11-23,"IN","OP","OP","OP","full bore operation","Operating normally"
"389",1989-11-24,"IN","OP","OP","OP","full bore operation","Operating normally"
"390",1989-11-25,"IN","OP","OP","OP","full bore operation","Operating normally"
"391",1989-11-26,"IN","OP","OP","OP","full bore operation","Operating normally"
"392",1989-11-27,"IN","OP","OP","OP","full bore operation","Operating normally"
"393",1989-11-28,"IN","OP","OP","OP","full bore operation","Operating normally"
"394",1989-11-29,"IN","OP","OP","OP","full bore operation","Operating normally"
"395",1989-11-30,"IN","OP","OP","OP","full bore operation","Operating normally"
"396",1989-12-01,"IN","OP","OP","OP","full bore operation","Operating normally"
"397",1989-12-02,"IN","OP","OP","OP","full bore operation","Operating normally"
"398",1989-12-03,"IN","OP","OP","OP","full bore operation","Operating normally"
"399",1989-12-04,"IN","OP","OP","OP","full bore operation","Operating normally"
"400",1989-12-05,"IN","OP","OP","OP","full bore operation","Operating normally"
"401",1989-12-06,"IN","OP","OP","OP","full bore operation","Operating normally"
"402",1989-12-07,"IN","OP","OP","OP","full bore operation","Operating normally"
"403",1989-12-08,"IN","O","O","O","3 gates held open for gate test # 5","Open with flashboards in"
"404",1989-12-09,"IN","O","O","O","3 gates held open for gate test # 5","Open with flashboards in"
"405",1989-12-10,"IN","O","O","O","3 gates held open for gate test # 5","Open with flashboards in"
