ZooCode,LifeStage,TaxonName,Phylum,Class,Order,Family,Genus,Species,Start Year,Notes
Neomysis_kadiakensis,All,Neomysis kadiakensis,Arthropoda,Malacostraca,Mysidacea,Mysidae,Neomysis,kadiakensis,2007,
Neomysis_mercedis,All,Neomysis mercedis,Arthropoda,Malacostraca,Mysidacea,Mysidae,Neomysis,mercedis,2007,
OITHDAV,Adult,Oithona davisae,Arthropoda,Copepoda,Cyclopoida,Oithonidae,Oithona,davisae,2005,
OITHJUV,Copepodid,Oithona spp copepodids,Arthropoda,Copepoda,Cyclopoida,Oithonidae,Oithona,davisae,2005,
OITHSIM,Adult,Oithona similis,Arthropoda,Copepoda,Cyclopoida,Oithonidae,Oithona,similis,2005,
OITHSPP,Adult,Oithona spp,Arthropoda,Copepoda,Cyclopoida,Oithonidae,Oithona,spp,2005,
OSTRAC,All,Ostracods,Arthropoda,Ostracoda,NA,NA,NA,NA,2005,
OTHCALAD,Adult,Other Calanoid adults,Arthropoda,Copepoda,Calanoida,NA,NA,NA,2005,
OTHCALJUV,Copepodid,Other calanoid copepodids,Arthropoda,Copepoda,Calanoida,NA,NA,NA,2005,
OTHCLADO,All,Other cladocera genera,Arthropoda,Branchiopoda,Cladocera,NA,NA,NA,2005,
OTHCOPNAUP,Nauplii,Other copepod nauplii,Arthropoda,Copepoda,NA,NA,NA,NA,2005,
OTHCYCAD,Adult,Other Cyclopoid adults,Arthropoda,Copepoda,Cyclopoida,Cyclopidae,NA,NA,2005,
OTHCYCJUV,Copepodid,Other cyclopoid copepodids,Arthropoda,Copepoda,Cyclopoida,Cyclopidae,NA,NA,2005,
OTHROT,All,Other rotifers,Rotatoria,Monogononta,Ploima,NA,NA,NA,2005,
PDIAPFOR,Adult,Pseudodiaptomus forbesi,Arthropoda,Copepoda,Calanoida,Pseudodiaptomidae,Pseudodiaptomus,forbesi,2005,
PDIAPJUV,Copepodid,Pseudodiaptomus spp copepodids,Arthropoda,Copepoda,Calanoida,Pseudodiaptomidae,Pseudodiaptomus,spp,2005,
PDIAPMAR,Adult,Pseudodiaptomus marinus,Arthropoda,Copepoda,Calanoida,Pseudodiaptomidae,Pseudodiaptomus,marinus,2005,
PDIAPNAUP,Nauplii,Pseudodiaptomus spp nauplii,Arthropoda,Copepoda,Calanoida,Pseudodiaptomidae,Pseudodiaptomus,spp,2005,
POLYARTH,All,Polyarthra spp,Rotatoria,Monogononta,Ploima,Synchaetidae,Polyarthra,spp,2005,
