cdec_code,year,date_time_pst,analyte,value,G2,U2
BDL,2018,2018-05-17 17:30:00,Dissolved Oxygen_mg/L,8.59,1,1
BDL,2018,2018-05-17 17:45:00,Dissolved Oxygen_mg/L,8.32,1,1
BDL,2018,2018-05-17 18:00:00,Dissolved Oxygen_mg/L,7.85,1,1
BDL,2018,2018-05-17 18:15:00,Dissolved Oxygen_mg/L,8.44,1,1
BDL,2018,2018-05-17 18:30:00,Dissolved Oxygen_mg/L,8.51,1,1
BDL,2018,2018-05-17 18:45:00,Dissolved Oxygen_mg/L,8.63,1,1
BDL,2018,2018-05-17 19:00:00,Dissolved Oxygen_mg/L,8.62,1,1
BDL,2018,2018-05-17 19:15:00,Dissolved Oxygen_mg/L,8.57,1,1
BDL,2018,2018-05-17 19:30:00,Dissolved Oxygen_mg/L,8.55,1,1
BDL,2018,2018-05-17 19:45:00,Dissolved Oxygen_mg/L,8.49,1,1
BDL,2018,2018-05-17 20:00:00,Dissolved Oxygen_mg/L,8.47,1,1
BDL,2018,2018-05-17 20:15:00,Dissolved Oxygen_mg/L,8.43,1,1
BDL,2018,2018-05-17 20:30:00,Dissolved Oxygen_mg/L,8.37,1,1
BDL,2018,2018-05-17 20:45:00,Dissolved Oxygen_mg/L,8.33,1,1
BDL,2018,2018-05-17 21:00:00,Dissolved Oxygen_mg/L,8.28,1,1
BDL,2018,2018-05-17 21:15:00,Dissolved Oxygen_mg/L,8.25,1,1
BDL,2018,2018-05-17 21:30:00,Dissolved Oxygen_mg/L,8.2,1,1
BDL,2018,2018-05-17 21:45:00,Dissolved Oxygen_mg/L,8.11,1,1
BDL,2018,2018-05-17 22:00:00,Dissolved Oxygen_mg/L,7.98,1,1
BDL,2018,2018-05-17 22:15:00,Dissolved Oxygen_mg/L,7.93,1,1
BDL,2018,2018-05-17 22:30:00,Dissolved Oxygen_mg/L,7.91,1,1
BDL,2018,2018-05-17 22:45:00,Dissolved Oxygen_mg/L,8.06,1,1
BDL,2018,2018-05-17 23:00:00,Dissolved Oxygen_mg/L,8.17,1,1
BDL,2018,2018-05-17 23:15:00,Dissolved Oxygen_mg/L,8.22,1,1
BDL,2018,2018-05-17 23:30:00,Dissolved Oxygen_mg/L,8.26,1,1
BDL,2018,2018-05-17 23:45:00,Dissolved Oxygen_mg/L,8.27,1,1
BDL,2018,2018-05-18,Dissolved Oxygen_mg/L,8.27,1,1
BDL,2018,2018-05-18 00:15:00,Dissolved Oxygen_mg/L,8.32,1,1
BDL,2018,2018-05-18 00:30:00,Dissolved Oxygen_mg/L,8.41,1,1
BDL,2018,2018-05-18 00:45:00,Dissolved Oxygen_mg/L,8.42,1,1
BDL,2018,2018-05-18 01:00:00,Dissolved Oxygen_mg/L,8.47,1,1
BDL,2018,2018-05-18 01:15:00,Dissolved Oxygen_mg/L,8.55,1,1
BDL,2018,2018-05-18 01:30:00,Dissolved Oxygen_mg/L,8.61,1,1
BDL,2018,2018-05-18 01:45:00,Dissolved Oxygen_mg/L,8.59,1,1
BDL,2018,2018-05-18 02:00:00,Dissolved Oxygen_mg/L,8.59,1,1
BDL,2018,2018-05-18 02:15:00,Dissolved Oxygen_mg/L,8.61,1,1
BDL,2018,2018-05-18 02:30:00,Dissolved Oxygen_mg/L,8.64,1,1
BDL,2018,2018-05-18 02:45:00,Dissolved Oxygen_mg/L,8.67,1,1
BDL,2018,2018-05-18 03:00:00,Dissolved Oxygen_mg/L,8.72,1,1
BDL,2018,2018-05-18 03:15:00,Dissolved Oxygen_mg/L,8.74,1,1
BDL,2018,2018-05-18 03:30:00,Dissolved Oxygen_mg/L,8.77,1,1
BDL,2018,2018-05-18 03:45:00,Dissolved Oxygen_mg/L,8.76,1,1
BDL,2018,2018-05-18 04:00:00,Dissolved Oxygen_mg/L,8.74,1,1
BDL,2018,2018-05-18 04:15:00,Dissolved Oxygen_mg/L,8.65,1,1
BDL,2018,2018-05-18 04:30:00,Dissolved Oxygen_mg/L,8.2,1,1
BDL,2018,2018-05-18 04:45:00,Dissolved Oxygen_mg/L,8.56,1,1
BDL,2018,2018-05-18 05:00:00,Dissolved Oxygen_mg/L,8.63,1,1
BDL,2018,2018-05-18 05:15:00,Dissolved Oxygen_mg/L,8.68,1,1
BDL,2018,2018-05-18 05:30:00,Dissolved Oxygen_mg/L,8.71,1,1
BDL,2018,2018-05-18 05:45:00,Dissolved Oxygen_mg/L,8.65,1,1
BDL,2018,2018-05-18 06:00:00,Dissolved Oxygen_mg/L,8.58,1,1
BDL,2018,2018-05-18 06:15:00,Dissolved Oxygen_mg/L,8.59,1,1
BDL,2018,2018-05-18 06:30:00,Dissolved Oxygen_mg/L,8.56,1,1
BDL,2018,2018-05-18 06:45:00,Dissolved Oxygen_mg/L,8.48,1,1
BDL,2018,2018-05-18 07:00:00,Dissolved Oxygen_mg/L,8.45,1,1
BDL,2018,2018-05-18 07:15:00,Dissolved Oxygen_mg/L,8.42,1,1
BDL,2018,2018-05-18 07:30:00,Dissolved Oxygen_mg/L,8.39,1,1
BDL,2018,2018-05-18 07:45:00,Dissolved Oxygen_mg/L,8.33,1,1
BDL,2018,2018-05-18 08:00:00,Dissolved Oxygen_mg/L,8.29,1,1
BDL,2018,2018-05-18 08:15:00,Dissolved Oxygen_mg/L,8.22,1,1
BDL,2018,2018-05-18 08:30:00,Dissolved Oxygen_mg/L,8.17,1,1
BDL,2018,2018-05-18 08:45:00,Dissolved Oxygen_mg/L,8.17,1,1
BDL,2018,2018-05-18 09:00:00,Dissolved Oxygen_mg/L,8.19,1,1
BDL,2018,2018-05-18 09:15:00,Dissolved Oxygen_mg/L,8.18,1,1
BDL,2018,2018-05-18 09:30:00,Dissolved Oxygen_mg/L,8.19,1,1
BDL,2018,2018-05-18 09:45:00,Dissolved Oxygen_mg/L,8.19,1,1
BDL,2018,2018-05-18 10:00:00,Dissolved Oxygen_mg/L,8.2,1,1
BDL,2018,2018-05-18 10:15:00,Dissolved Oxygen_mg/L,8.19,1,1
BDL,2018,2018-05-18 10:30:00,Dissolved Oxygen_mg/L,8.19,1,1
BDL,2018,2018-05-18 10:45:00,Dissolved Oxygen_mg/L,8.18,1,1
BDL,2018,2018-05-18 11:00:00,Dissolved Oxygen_mg/L,8.23,1,1
BDL,2018,2018-05-18 11:15:00,Dissolved Oxygen_mg/L,8.27,1,1
BDL,2018,2018-05-18 11:30:00,Dissolved Oxygen_mg/L,8.28,1,1
BDL,2018,2018-05-18 11:45:00,Dissolved Oxygen_mg/L,8.22,1,1
BDL,2018,2018-05-18 12:00:00,Dissolved Oxygen_mg/L,8.16,1,1
BDL,2018,2018-05-18 12:15:00,Dissolved Oxygen_mg/L,8.06,1,1
BDL,2018,2018-05-18 12:30:00,Dissolved Oxygen_mg/L,7.89,1,1
BDL,2018,2018-05-18 12:45:00,Dissolved Oxygen_mg/L,8.05,1,1
BDL,2018,2018-05-18 13:00:00,Dissolved Oxygen_mg/L,8.38,1,1
BDL,2018,2018-05-18 13:15:00,Dissolved Oxygen_mg/L,8.5,1,1
BDL,2018,2018-05-18 13:30:00,Dissolved Oxygen_mg/L,8.43,1,1
BDL,2018,2018-05-18 13:45:00,Dissolved Oxygen_mg/L,8.4,1,1
BDL,2018,2018-05-18 14:00:00,Dissolved Oxygen_mg/L,8.36,1,1
BDL,2018,2018-05-18 14:15:00,Dissolved Oxygen_mg/L,8.37,1,1
BDL,2018,2018-05-18 14:30:00,Dissolved Oxygen_mg/L,8.35,1,1
BDL,2018,2018-05-18 14:45:00,Dissolved Oxygen_mg/L,8.29,1,1
BDL,2018,2018-05-18 15:00:00,Dissolved Oxygen_mg/L,8.23,1,1
BDL,2018,2018-05-18 15:15:00,Dissolved Oxygen_mg/L,8.22,1,1
BDL,2018,2018-05-18 15:30:00,Dissolved Oxygen_mg/L,8.2,1,1
BDL,2018,2018-05-18 15:45:00,Dissolved Oxygen_mg/L,8.2,1,1
BDL,2018,2018-05-18 16:00:00,Dissolved Oxygen_mg/L,8.19,1,1
BDL,2018,2018-05-18 16:15:00,Dissolved Oxygen_mg/L,8.17,1,1
BDL,2018,2018-05-18 16:30:00,Dissolved Oxygen_mg/L,8.26,1,1
BDL,2018,2018-05-18 16:45:00,Dissolved Oxygen_mg/L,8.38,1,1
BDL,2018,2018-05-18 17:00:00,Dissolved Oxygen_mg/L,8.4,1,1
BDL,2018,2018-05-18 17:15:00,Dissolved Oxygen_mg/L,8.46,1,1
BDL,2018,2018-05-18 17:30:00,Dissolved Oxygen_mg/L,8.52,1,1
BDL,2018,2018-05-18 17:45:00,Dissolved Oxygen_mg/L,8.53,1,1
BDL,2018,2018-05-18 18:00:00,Dissolved Oxygen_mg/L,8.58,1,1
BDL,2018,2018-05-18 18:15:00,Dissolved Oxygen_mg/L,8.58,1,1
BDL,2018,2018-05-18 18:30:00,Dissolved Oxygen_mg/L,8.49,1,1
BDL,2018,2018-05-18 18:45:00,Dissolved Oxygen_mg/L,8.48,1,1
BDL,2018,2018-05-18 19:00:00,Dissolved Oxygen_mg/L,7.76,1,1
BDL,2018,2018-05-18 19:15:00,Dissolved Oxygen_mg/L,8.33,1,1
BDL,2018,2018-05-18 19:30:00,Dissolved Oxygen_mg/L,8.34,1,1
BDL,2018,2018-05-18 19:45:00,Dissolved Oxygen_mg/L,8.49,1,1
BDL,2018,2018-05-18 20:00:00,Dissolved Oxygen_mg/L,8.52,1,1
BDL,2018,2018-05-18 20:15:00,Dissolved Oxygen_mg/L,8.51,1,1
BDL,2018,2018-05-18 20:30:00,Dissolved Oxygen_mg/L,8.49,1,1
BDL,2018,2018-05-18 20:45:00,Dissolved Oxygen_mg/L,8.44,1,1
BDL,2018,2018-05-18 21:00:00,Dissolved Oxygen_mg/L,8.4,1,1
BDL,2018,2018-05-18 21:15:00,Dissolved Oxygen_mg/L,8.4,1,1
BDL,2018,2018-05-18 21:30:00,Dissolved Oxygen_mg/L,8.35,1,1
BDL,2018,2018-05-18 21:45:00,Dissolved Oxygen_mg/L,8.3,1,1
BDL,2018,2018-05-18 22:00:00,Dissolved Oxygen_mg/L,8.24,1,1
BDL,2018,2018-05-18 22:15:00,Dissolved Oxygen_mg/L,8.23,1,1
BDL,2018,2018-05-18 22:30:00,Dissolved Oxygen_mg/L,8.2,1,1
BDL,2018,2018-05-18 22:45:00,Dissolved Oxygen_mg/L,8.11,1,1
BDL,2018,2018-05-18 23:00:00,Dissolved Oxygen_mg/L,7.99,1,1
BDL,2018,2018-05-18 23:15:00,Dissolved Oxygen_mg/L,7.85,1,1
BDL,2018,2018-05-18 23:30:00,Dissolved Oxygen_mg/L,7.69,1,1
BDL,2018,2018-05-18 23:45:00,Dissolved Oxygen_mg/L,8.14,1,1
BDL,2018,2018-05-19,Dissolved Oxygen_mg/L,8.25,1,1
BDL,2018,2018-05-19 00:15:00,Dissolved Oxygen_mg/L,8.29,1,1
BDL,2018,2018-05-19 00:30:00,Dissolved Oxygen_mg/L,8.31,1,1
BDL,2018,2018-05-19 00:45:00,Dissolved Oxygen_mg/L,8.29,1,1
BDL,2018,2018-05-19 01:00:00,Dissolved Oxygen_mg/L,8.3,1,1
BDL,2018,2018-05-19 01:15:00,Dissolved Oxygen_mg/L,8.37,1,1
BDL,2018,2018-05-19 01:30:00,Dissolved Oxygen_mg/L,8.43,1,1
BDL,2018,2018-05-19 01:45:00,Dissolved Oxygen_mg/L,8.43,1,1
BDL,2018,2018-05-19 02:00:00,Dissolved Oxygen_mg/L,8.45,1,1
BDL,2018,2018-05-19 02:15:00,Dissolved Oxygen_mg/L,8.52,1,1
BDL,2018,2018-05-19 02:30:00,Dissolved Oxygen_mg/L,8.49,1,1
BDL,2018,2018-05-19 02:45:00,Dissolved Oxygen_mg/L,8.48,1,1
BDL,2018,2018-05-19 03:00:00,Dissolved Oxygen_mg/L,8.49,1,1
BDL,2018,2018-05-19 03:15:00,Dissolved Oxygen_mg/L,8.51,1,1
BDL,2018,2018-05-19 03:30:00,Dissolved Oxygen_mg/L,8.53,1,1
BDL,2018,2018-05-19 03:45:00,Dissolved Oxygen_mg/L,8.53,1,1
BDL,2018,2018-05-19 04:00:00,Dissolved Oxygen_mg/L,8.57,1,1
BDL,2018,2018-05-19 04:15:00,Dissolved Oxygen_mg/L,8.64,1,1
BDL,2018,2018-05-19 04:30:00,Dissolved Oxygen_mg/L,8.6,1,1
BDL,2018,2018-05-19 04:45:00,Dissolved Oxygen_mg/L,8.6,1,1
BDL,2018,2018-05-19 05:00:00,Dissolved Oxygen_mg/L,8.5,1,1
BDL,2018,2018-05-19 05:15:00,Dissolved Oxygen_mg/L,8.22,1,1
BDL,2018,2018-05-19 05:30:00,Dissolved Oxygen_mg/L,8.3,1,1
BDL,2018,2018-05-19 05:45:00,Dissolved Oxygen_mg/L,8.42,1,1
BDL,2018,2018-05-19 06:00:00,Dissolved Oxygen_mg/L,8.45,1,1
BDL,2018,2018-05-19 06:15:00,Dissolved Oxygen_mg/L,8.55,1,1
BDL,2018,2018-05-19 06:30:00,Dissolved Oxygen_mg/L,8.57,1,1
BDL,2018,2018-05-19 06:45:00,Dissolved Oxygen_mg/L,8.56,1,1
BDL,2018,2018-05-19 07:00:00,Dissolved Oxygen_mg/L,8.51,1,1
BDL,2018,2018-05-19 07:15:00,Dissolved Oxygen_mg/L,8.52,1,1
BDL,2018,2018-05-19 07:30:00,Dissolved Oxygen_mg/L,8.48,1,1
BDL,2018,2018-05-19 07:45:00,Dissolved Oxygen_mg/L,8.43,1,1
BDL,2018,2018-05-19 08:00:00,Dissolved Oxygen_mg/L,8.42,1,1
BDL,2018,2018-05-19 08:15:00,Dissolved Oxygen_mg/L,8.41,1,1
BDL,2018,2018-05-19 08:30:00,Dissolved Oxygen_mg/L,8.39,1,1
BDL,2018,2018-05-19 08:45:00,Dissolved Oxygen_mg/L,8.34,1,1
BDL,2018,2018-05-19 09:00:00,Dissolved Oxygen_mg/L,8.3,1,1
BDL,2018,2018-05-19 09:15:00,Dissolved Oxygen_mg/L,8.25,1,1
BDL,2018,2018-05-19 09:30:00,Dissolved Oxygen_mg/L,8.23,1,1
BDL,2018,2018-05-19 09:45:00,Dissolved Oxygen_mg/L,8.24,1,1
BDL,2018,2018-05-19 10:00:00,Dissolved Oxygen_mg/L,8.27,1,1
BDL,2018,2018-05-19 10:15:00,Dissolved Oxygen_mg/L,8.3,1,1
BDL,2018,2018-05-19 10:30:00,Dissolved Oxygen_mg/L,8.3,1,1
BDL,2018,2018-05-19 10:45:00,Dissolved Oxygen_mg/L,8.32,1,1
BDL,2018,2018-05-19 11:00:00,Dissolved Oxygen_mg/L,8.33,1,1
BDL,2018,2018-05-19 11:15:00,Dissolved Oxygen_mg/L,8.34,1,1
BDL,2018,2018-05-19 11:30:00,Dissolved Oxygen_mg/L,8.37,1,1
BDL,2018,2018-05-19 11:45:00,Dissolved Oxygen_mg/L,8.39,1,1
BDL,2018,2018-05-19 12:00:00,Dissolved Oxygen_mg/L,8.38,1,1
BDL,2018,2018-05-19 12:15:00,Dissolved Oxygen_mg/L,8.39,1,1
BDL,2018,2018-05-19 12:30:00,Dissolved Oxygen_mg/L,8.36,1,1
BDL,2018,2018-05-19 12:45:00,Dissolved Oxygen_mg/L,8.34,1,1
BDL,2018,2018-05-19 13:00:00,Dissolved Oxygen_mg/L,8.27,1,1
BDL,2018,2018-05-19 13:15:00,Dissolved Oxygen_mg/L,8.18,1,1
BDL,2018,2018-05-19 13:30:00,Dissolved Oxygen_mg/L,8.26,1,1
BDL,2018,2018-05-19 13:45:00,Dissolved Oxygen_mg/L,8.33,1,1
BDL,2018,2018-05-19 14:00:00,Dissolved Oxygen_mg/L,8.49,1,1
BDL,2018,2018-05-19 14:15:00,Dissolved Oxygen_mg/L,8.51,1,1
BDL,2018,2018-05-19 14:30:00,Dissolved Oxygen_mg/L,8.55,1,1
BDL,2018,2018-05-19 14:45:00,Dissolved Oxygen_mg/L,8.52,1,1
BDL,2018,2018-05-19 15:00:00,Dissolved Oxygen_mg/L,8.43,1,1
BDL,2018,2018-05-19 15:15:00,Dissolved Oxygen_mg/L,8.44,1,1
BDL,2018,2018-05-19 15:30:00,Dissolved Oxygen_mg/L,8.45,1,1
BDL,2018,2018-05-19 15:45:00,Dissolved Oxygen_mg/L,8.42,1,1
BDL,2018,2018-05-19 16:00:00,Dissolved Oxygen_mg/L,8.41,1,1
BDL,2018,2018-05-19 16:15:00,Dissolved Oxygen_mg/L,8.41,1,1
BDL,2018,2018-05-19 16:30:00,Dissolved Oxygen_mg/L,8.41,1,1
BDL,2018,2018-05-19 16:45:00,Dissolved Oxygen_mg/L,8.39,1,1
BDL,2018,2018-05-19 17:00:00,Dissolved Oxygen_mg/L,8.37,1,1
BDL,2018,2018-05-19 17:15:00,Dissolved Oxygen_mg/L,8.38,1,1
BDL,2018,2018-05-19 17:30:00,Dissolved Oxygen_mg/L,8.41,1,1
BDL,2018,2018-05-19 17:45:00,Dissolved Oxygen_mg/L,8.44,1,1
BDL,2018,2018-05-19 18:00:00,Dissolved Oxygen_mg/L,8.46,1,1
BDL,2018,2018-05-19 18:15:00,Dissolved Oxygen_mg/L,8.5,1,1
BDL,2018,2018-05-19 18:30:00,Dissolved Oxygen_mg/L,8.52,1,1
BDL,2018,2018-05-19 18:45:00,Dissolved Oxygen_mg/L,8.52,1,1
BDL,2018,2018-05-19 19:00:00,Dissolved Oxygen_mg/L,8.51,1,1
BDL,2018,2018-05-19 19:15:00,Dissolved Oxygen_mg/L,8.49,1,1
BDL,2018,2018-05-19 19:30:00,Dissolved Oxygen_mg/L,8.43,1,1
BDL,2018,2018-05-19 19:45:00,Dissolved Oxygen_mg/L,8.18,1,1
BDL,2018,2018-05-19 20:00:00,Dissolved Oxygen_mg/L,7.96,1,1
BDL,2018,2018-05-19 20:15:00,Dissolved Oxygen_mg/L,8.27,1,1
BDL,2018,2018-05-19 20:30:00,Dissolved Oxygen_mg/L,8.3,1,1
BDL,2018,2018-05-19 20:45:00,Dissolved Oxygen_mg/L,8.3,1,1
BDL,2018,2018-05-19 21:00:00,Dissolved Oxygen_mg/L,8.41,1,1
BDL,2018,2018-05-19 21:15:00,Dissolved Oxygen_mg/L,8.48,1,1
BDL,2018,2018-05-19 21:30:00,Dissolved Oxygen_mg/L,8.48,1,1
BDL,2018,2018-05-19 21:45:00,Dissolved Oxygen_mg/L,8.46,1,1
BDL,2018,2018-05-19 22:00:00,Dissolved Oxygen_mg/L,8.41,1,1
BDL,2018,2018-05-19 22:15:00,Dissolved Oxygen_mg/L,8.42,1,1
BDL,2018,2018-05-19 22:30:00,Dissolved Oxygen_mg/L,8.39,1,1
BDL,2018,2018-05-19 22:45:00,Dissolved Oxygen_mg/L,8.39,1,1
BDL,2018,2018-05-19 23:00:00,Dissolved Oxygen_mg/L,8.37,1,1
BDL,2018,2018-05-19 23:15:00,Dissolved Oxygen_mg/L,8.34,1,1
BDL,2018,2018-05-19 23:30:00,Dissolved Oxygen_mg/L,8.34,1,1
BDL,2018,2018-05-19 23:45:00,Dissolved Oxygen_mg/L,8.29,1,1
BDL,2018,2018-05-20,Dissolved Oxygen_mg/L,8.28,1,1
BDL,2018,2018-05-20 00:15:00,Dissolved Oxygen_mg/L,8.17,1,1
BDL,2018,2018-05-20 00:30:00,Dissolved Oxygen_mg/L,8.09,1,1
BDL,2018,2018-05-20 00:45:00,Dissolved Oxygen_mg/L,8.08,1,1
BDL,2018,2018-05-20 01:00:00,Dissolved Oxygen_mg/L,8.3,1,1
BDL,2018,2018-05-20 01:15:00,Dissolved Oxygen_mg/L,8.36,1,1
BDL,2018,2018-05-20 01:30:00,Dissolved Oxygen_mg/L,8.38,1,1
BDL,2018,2018-05-20 01:45:00,Dissolved Oxygen_mg/L,8.4,1,1
BDL,2018,2018-05-20 02:00:00,Dissolved Oxygen_mg/L,8.42,1,1
BDL,2018,2018-05-20 02:15:00,Dissolved Oxygen_mg/L,8.42,1,1
BDL,2018,2018-05-20 02:30:00,Dissolved Oxygen_mg/L,8.42,1,1
BDL,2018,2018-05-20 02:45:00,Dissolved Oxygen_mg/L,8.43,1,1
BDL,2018,2018-05-20 03:00:00,Dissolved Oxygen_mg/L,8.43,1,1
BDL,2018,2018-05-20 03:15:00,Dissolved Oxygen_mg/L,8.41,1,1
BDL,2018,2018-05-20 03:30:00,Dissolved Oxygen_mg/L,8.42,1,1
BDL,2018,2018-05-20 03:45:00,Dissolved Oxygen_mg/L,8.42,1,1
BDL,2018,2018-05-20 04:00:00,Dissolved Oxygen_mg/L,8.43,1,1
BDL,2018,2018-05-20 04:15:00,Dissolved Oxygen_mg/L,8.45,1,1
BDL,2018,2018-05-20 04:30:00,Dissolved Oxygen_mg/L,8.45,1,1
BDL,2018,2018-05-20 04:45:00,Dissolved Oxygen_mg/L,8.46,1,1
BDL,2018,2018-05-20 05:00:00,Dissolved Oxygen_mg/L,8.47,1,1
BDL,2018,2018-05-20 05:15:00,Dissolved Oxygen_mg/L,8.44,1,1
BDL,2018,2018-05-20 05:30:00,Dissolved Oxygen_mg/L,8.41,1,1
BDL,2018,2018-05-20 05:45:00,Dissolved Oxygen_mg/L,8.3,1,1
BDL,2018,2018-05-20 06:00:00,Dissolved Oxygen_mg/L,7.83,1,1
BDL,2018,2018-05-20 06:15:00,Dissolved Oxygen_mg/L,7.68,1,1
BDL,2018,2018-05-20 06:30:00,Dissolved Oxygen_mg/L,8.16,1,1
BDL,2018,2018-05-20 06:45:00,Dissolved Oxygen_mg/L,8.27,1,1
BDL,2018,2018-05-20 07:00:00,Dissolved Oxygen_mg/L,8.32,1,1
BDL,2018,2018-05-20 07:15:00,Dissolved Oxygen_mg/L,8.44,1,1
BDL,2018,2018-05-20 07:30:00,Dissolved Oxygen_mg/L,8.45,1,1
BDL,2018,2018-05-20 07:45:00,Dissolved Oxygen_mg/L,8.42,1,1
BDL,2018,2018-05-20 08:00:00,Dissolved Oxygen_mg/L,8.43,1,1
BDL,2018,2018-05-20 08:15:00,Dissolved Oxygen_mg/L,8.41,1,1
BDL,2018,2018-05-20 08:30:00,Dissolved Oxygen_mg/L,8.41,1,1
BDL,2018,2018-05-20 08:45:00,Dissolved Oxygen_mg/L,8.41,1,1
BDL,2018,2018-05-20 09:00:00,Dissolved Oxygen_mg/L,8.39,1,1
BDL,2018,2018-05-20 09:15:00,Dissolved Oxygen_mg/L,8.38,1,1
BDL,2018,2018-05-20 09:30:00,Dissolved Oxygen_mg/L,8.36,1,1
BDL,2018,2018-05-20 09:45:00,Dissolved Oxygen_mg/L,8.34,1,1
BDL,2018,2018-05-20 10:00:00,Dissolved Oxygen_mg/L,8.33,1,1
BDL,2018,2018-05-20 10:15:00,Dissolved Oxygen_mg/L,8.33,1,1
BDL,2018,2018-05-20 10:30:00,Dissolved Oxygen_mg/L,8.34,1,1
BDL,2018,2018-05-20 10:45:00,Dissolved Oxygen_mg/L,8.34,1,1
BDL,2018,2018-05-20 11:00:00,Dissolved Oxygen_mg/L,8.37,1,1
BDL,2018,2018-05-20 11:15:00,Dissolved Oxygen_mg/L,8.39,1,1
BDL,2018,2018-05-20 11:30:00,Dissolved Oxygen_mg/L,8.38,1,1
BDL,2018,2018-05-20 11:45:00,Dissolved Oxygen_mg/L,8.38,1,1
BDL,2018,2018-05-20 12:00:00,Dissolved Oxygen_mg/L,8.37,1,1
BDL,2018,2018-05-20 12:15:00,Dissolved Oxygen_mg/L,8.36,1,1
BDL,2018,2018-05-20 12:30:00,Dissolved Oxygen_mg/L,8.34,1,1
BDL,2018,2018-05-20 12:45:00,Dissolved Oxygen_mg/L,8.34,1,1
BDL,2018,2018-05-20 13:00:00,Dissolved Oxygen_mg/L,8.35,1,1
BDL,2018,2018-05-20 13:15:00,Dissolved Oxygen_mg/L,8.33,1,1
BDL,2018,2018-05-20 13:30:00,Dissolved Oxygen_mg/L,8.3,1,1
BDL,2018,2018-05-20 13:45:00,Dissolved Oxygen_mg/L,8.28,1,1
BDL,2018,2018-05-20 14:00:00,Dissolved Oxygen_mg/L,8.23,1,1
BDL,2018,2018-05-20 14:15:00,Dissolved Oxygen_mg/L,8.16,1,1
BDL,2018,2018-05-20 14:30:00,Dissolved Oxygen_mg/L,8.2,1,1
BDL,2018,2018-05-20 14:45:00,Dissolved Oxygen_mg/L,8.41,1,1
BDL,2018,2018-05-20 15:00:00,Dissolved Oxygen_mg/L,8.47,1,1
BDL,2018,2018-05-20 15:15:00,Dissolved Oxygen_mg/L,8.48,1,1
BDL,2018,2018-05-20 15:30:00,Dissolved Oxygen_mg/L,8.5,1,1
BDL,2018,2018-05-20 15:45:00,Dissolved Oxygen_mg/L,8.4,1,1
BDL,2018,2018-05-20 16:00:00,Dissolved Oxygen_mg/L,8.38,1,1
