station,EMP_NZ028,EMP_NZ032,EMP_NZ048,EMP_NZ054,EMP_NZ060,EMP_NZ064,EMP_NZ068,EMP_NZ074,EMP_NZS42,FMWT_519,FMWT_602,FMWT_605,FMWT_606,FMWT_704,FMWT_706,FMWT_802,SMSCG,STN_519,STN_602,STN_606,STN_609,STN_610,STN_704,STN_706,STN_801,STN_MONT
FMWT_602,467.7050983124842,8317.0630963092,8028.380029138098,14725.68780887929,21741.264283566517,30240.122331253482,37759.98557128281,24384.95605319123,9667.227669006124,10199.364995084963,0,3946.8924670200986,8259.768194621684,26268.315266691327,30365.372306408335,21667.086382181835,22952.74655396164,9109.775191709921,591.9691670244127,8202.473292934168,17201.41750794842,26219.144362394884,26572.49487344139,30427.01138754284,19918.39290719176,20798.15239935982
FMWT_605,3768.691769624715,4423.614304751093,11936.996979750624,18620.9438406263,25636.52031531354,34135.37836300052,41655.241603029834,28280.21208493823,5720.335201986028,14094.62102683199,3946.8924670200986,0,4366.319403063577,30163.571298438343,34260.62833815537,25562.34241392885,25824.467451196546,13005.03122345695,4161.396867937199,4309.024501376061,13307.968716390316,22540.857497672285,30467.750905188404,34322.26741928988,23813.648938938775,16904.703607801734
FMWT_606,8081.567497226307,106.06601717798213,16249.872707352204,22933.819568227835,28710.04222051844,37279.72066145542,44799.58390148473,32593.087812539765,4599.021855514626,18407.49675443357,8259.768194621684,4366.319403063577,0,33307.91359689319,37404.97063661026,29875.21814153041,21547.00192021995,17317.906951058536,8474.272595538787,106.06601717798213,9030.503185413696,18263.391966695694,33612.09320364325,37466.60971774477,27676.85381193416,12627.23807682512
FMWT_704,26528.725463316292,33201.847579715206,19771.729424061774,11790.498834186892,4597.871376374779,3971.8070645621674,11518.392142322451,5931.481329899064,35743.32379351819,16242.385244614812,26268.315266691327,30163.571298438343,33307.91359689319,0,4123.778877448015,6624.936353676105,11778.123821764317,17292.14926363644,26244.95170196441,33413.97961407119,24321.344394301574,15044.521630197585,485.9031498464306,4185.417958582518,6443.44879155811,20742.807554424104
FMWT_706,30625.7825030333,37298.90461943228,23868.786463778797,15887.555873903915,8694.928416091801,635.4101966249684,7446.249700147512,9846.907226065894,39840.380833235235,20339.442284331824,30365.372306408335,34260.62833815537,37404.97063661026,4123.778877448015,0,10731.503086033092,15875.180861481342,21389.20630335343,30342.008741681402,37511.03665378825,28418.401434018564,19141.57866991458,3993.2912159494263,75,10540.505831275135,24839.864594141094
FMWT_802,21927.4965788068,29815.95142695703,15170.500539552266,6941.398573302575,3648.9356881873887,10499.365759954264,18126.116350907505,3566.562381130187,31282.67761591485,11829.924064865,21667.086382181835,25562.34241392885,29875.21814153041,6624.936353676105,10731.503086033092,0,8392.227669006124,12690.920379126914,21643.722817454898,29817.92323984285,20935.448241543392,11658.625477439393,6738.211870083678,10793.1421671676,2352.0509831248423,17356.91140166594
SMSCG,23213.156750586608,21440.93590304197,16456.160711332086,8528.373796919168,7180.252445389534,15749.930886326492,23269.79412635574,11519.213476068446,23982.412116844916,12926.816531885099,22952.74655396164,25824.467451196546,21547.00192021995,11778.123821764317,15875.180861481342,8392.227669006124,0,13976.580550906732,22929.382989234706,21653.067937397947,12560.432717628319,3283.609953524286,12082.303428514377,15936.819942615843,6147.064036805267,8981.895877750845
STN_519,9370.18538833489,17375.201852746053,3486.3968679371997,5749.521805824334,12765.098280511602,21263.95632819857,28783.819568227835,15408.790050136324,18725.366425442968,1160.4101966249684,9109.775191709921,13005.03122345695,17317.906951058536,17292.14926363644,21389.20630335343,12690.920379126914,13976.580550906732,0,9086.411626982997,17260.61204937102,26259.556264385235,17242.978359339988,17596.328870386496,21450.84538448795,10942.22690413681,22941.264283566536
STN_602,392.7050983124842,8531.567497226304,7934.360643858148,14702.324244152354,21717.900718839584,30216.75876652655,37736.622006555874,24361.592488464295,9881.732069923226,10176.001430358028,591.9691670244127,4161.396867937199,8474.272595538787,26244.95170196441,30342.008741681402,21643.722817454898,22929.382989234706,9086.411626982997,0,8416.977693851275,17415.921908865523,26195.780797667943,26549.131308714448,30403.6478228159,19895.02934246482,21012.656800276916
STN_606,8024.272595538791,212.13203435596427,16192.577805664689,22876.524666540317,28816.108237696422,37385.786678633405,44905.64991866271,32535.792910852248,4705.087872692608,18350.201852746053,8202.473292934168,4309.024501376061,106.06601717798213,33413.97961407119,37511.03665378825,29817.92323984285,21653.067937397947,17260.61204937102,8416.977693851275,0,9136.569202591678,18369.457983873675,33718.15922082123,37572.67573492275,27782.919829112143,12733.304094003102
STN_609,17023.216810553044,8924.437168235714,25191.522020678924,21071.59436945643,19723.473017926815,28293.15145886371,35813.01469889303,24062.43404860573,11465.913382038667,25470.037104422347,17201.41750794842,13307.968716390316,9030.503185413696,24321.344394301574,28418.401434018564,20935.448241543392,12560.432717628319,26259.556264385235,17415.921908865523,9136.569202591678,0,9276.822764104023,24625.52400105163,28480.04051515308,18690.28460934255,3640.6688742334372
STN_610,26256.105591834978,18157.32594951771,19722.55851976533,11794.771605352435,10446.650253822801,19016.328694759733,26536.191934788985,14785.611284501712,20698.80216332065,16193.214340318365,26219.144362394884,22540.857497672285,18263.391966695694,15044.521630197585,19141.57866991458,11658.625477439393,3283.609953524286,17242.978359339988,26195.780797667943,18369.457983873675,9276.822764104023,0,15348.701236947642,19203.217751049095,9413.461845238531,5698.285924226558
STN_704,26832.905070066354,33506.02718646527,20075.90903081184,12094.678440936956,4902.050983124842,3761.1538898705894,11387.904480823863,5853.616010116464,36047.50340026825,16546.564851364874,26572.49487344139,30467.750905188404,33612.09320364325,485.9031498464306,3993.2912159494263,6738.211870083678,12082.303428514377,17596.328870386496,26549.131308714448,33718.15922082123,24625.52400105163,15348.701236947642,0,4054.930297083928,6747.628398308172,21046.987161174173
STN_706,30687.421584167805,37360.543700566785,23930.4255449133,15949.194955038418,8756.567497226304,617.7050983124842,7401.822764104032,9908.546307200395,39902.01991436974,20401.081365466325,30427.01138754284,34322.26741928988,37466.60971774477,4185.417958582518,75,10793.1421671676,15936.819942615843,21450.84538448795,30403.6478228159,37572.67573492275,28480.04051515308,19203.217751049095,4054.930297083928,0,10602.144912409638,24901.503675275595
STN_801,20178.803103816725,27570.78779475618,13421.807064562172,5440.576474687262,1916.3978084332648,10415.255856120286,17935.119096149552,5372.149439263195,29533.984140924775,9892.462885115187,19918.39290719176,23813.648938938775,27676.85381193416,6443.44879155811,10540.505831275135,2352.0509831248423,6147.064036805267,10942.22690413681,19895.02934246482,27782.919829112143,18690.28460934255,9413.461845238531,6747.628398308172,10602.144912409638,0,15111.747769465084
STN_MONT,20619.951701964434,12521.172059647139,25420.844443991886,17493.057529578982,16144.93617804936,24714.61461898624,32234.4778590155,20483.897208728256,15062.64827345009,21891.5002645449,20798.15239935982,16904.703607801734,12627.23807682512,20742.807554424104,24839.864594141094,17356.91140166594,8981.895877750845,22941.264283566536,21012.656800276916,12733.304094003102,3640.6688742334372,5698.285924226558,21046.987161174173,24901.503675275595,15111.747769465084,0
